Strategic Education Price to Free Cash Flow Ratio Historical Data,Strategic Education Price to Free Cash Flow Ratio Historical Data,Strategic Education Price to Free Cash Flow Ratio Historical Data,Strategic Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,88.82,,16.8
2024-03-31,102.91,$5.29,19.47
2023-12-31,90.78,$3.59,25.27
2023-09-30,73.46,$3.09,23.79
2023-06-30,65.72,$1.07,61.4
2023-03-31,86.36,$2.47,35.01
2022-12-31,74.76,$1.78,41.99
2024-06-30,109.94,$3.39,32.42
2022-09-30,58.19,$4.17,13.95
2022-06-30,66.24,$3.93,16.84
2022-03-31,61.74,$4.99,12.38
2021-12-31,53.24,$5.78,9.21
2021-09-30,64.23,$4.33,14.83
2021-06-30,68.76,$4.53,15.18
2021-03-31,82.43,$4.48,18.42
2020-12-31,84.87,$4.20,20.19
2020-09-30,80.91,$7.60,10.64
2020-06-30,135.07,$7.52,17.97
2020-03-31,122.43,$7.60,16.11
2019-12-31,138.64,$7.40,18.74
2019-09-30,118.04,$8.13,14.52
2019-06-30,154.17,$3.20,48.22
2019-03-31,113.42,$2.40,47.22
2018-12-31,97.6,$1.27,76.74
2018-09-30,117.49,$-0.98,0.0
2018-06-30,96.54,$3.11,31.03
2018-03-31,86.13,$2.67,32.2
2017-12-31,76.16,$3.40,22.38
2017-09-30,74.01,$3.46,21.38
2017-06-30,78.81,$3.35,23.55
2017-03-31,67.86,$3.58,18.96
2016-12-31,67.76,$2.89,23.43
2016-09-30,39.23,$3.95,9.94
2016-06-30,41.29,$4.33,9.53
2016-03-31,40.97,$4.62,8.87
2015-12-31,50.52,$6.04,8.37
2015-09-30,46.2,$5.41,8.54
2015-06-30,36.22,$6.07,5.97
2015-03-31,44.89,$6.22,7.21
2014-12-31,62.42,$6.67,9.35
2014-09-30,50.32,$6.37,7.89
2014-06-30,44.13,$6.71,6.58
2014-03-31,39.02,$7.46,5.23
2013-12-31,28.97,$7.09,4.08
2013-09-30,34.89,$7.77,4.49
2013-06-30,41.04,$6.58,6.24
2013-03-31,40.66,$4.86,8.36
2012-12-31,47.2,$5.01,9.42
2012-09-30,52.96,$5.41,9.78
2012-06-30,88.42,$7.36,12.01
2012-03-31,75.58,$8.88,8.51
2011-12-31,77.19,$10.41,7.41
2011-09-30,60.23,$8.96,6.72
2011-06-30,98.21,$9.78,10.04
2011-03-31,100.57,$9.28,10.84
2010-12-31,116.47,$8.63,13.5
2010-09-30,132.58,$11.21,11.83
2010-06-30,157.23,$8.54,18.42
2010-03-31,183.59,$8.87,20.69
2009-12-31,159.67,$8.05,19.83
