Opendoor Technologies Price to Free Cash Flow Ratio Historical Data,Opendoor Technologies Price to Free Cash Flow Ratio Historical Data,Opendoor Technologies Price to Free Cash Flow Ratio Historical Data,Opendoor Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1.82,,0.0
2024-06-30,1.84,$-1.97,0.0
2024-03-31,3.03,$-0.12,0.0
2023-12-31,4.48,$3.51,1.28
2023-09-30,2.64,$6.53,0.4
2023-06-30,4.02,$6.31,0.64
2023-03-31,1.76,$2.06,0.86
2022-12-31,1.16,$1.11,1.05
2022-09-30,3.11,$-1.12,0.0
2022-06-30,4.71,$-6.47,0.0
2022-03-31,8.65,$-6.71,0.0
2021-12-31,14.61,$-9.83,0.0
2021-09-30,20.53,$-15.25,0.0
2021-06-30,17.73,$-8.97,0.0
2021-03-31,21.19,$5.36,3.95
