Urban Edge Properties Price to Free Cash Flow Ratio Historical Data,Urban Edge Properties Price to Free Cash Flow Ratio Historical Data,Urban Edge Properties Price to Free Cash Flow Ratio Historical Data,Urban Edge Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.0,,0.0
2024-06-30,18.32,$-0.20,0.0
2024-03-31,16.97,$0.15,109.65
2023-12-31,17.8,$0.39,46.2
2023-09-30,14.72,$0.13,110.58
2023-06-30,14.74,$0.20,74.95
2023-03-31,14.24,$-0.06,0.0
2022-12-31,13.17,$-0.10,0.0
2022-09-30,12.34,$-1.80,0.0
2022-06-30,13.93,$-2.15,0.0
2022-03-31,17.3,$-1.75,0.0
2021-12-31,17.06,$-1.47,0.0
2021-09-30,16.3,$0.19,86.89
2021-06-30,16.87,$0.67,25.1
2021-03-31,14.48,$0.61,23.81
2020-12-31,11.25,$0.12,92.35
2020-09-30,8.16,$-0.01,0.0
2020-06-30,9.96,$0.56,17.72
2020-03-31,7.39,$0.76,9.72
2019-12-31,15.85,$1.12,14.15
2019-09-30,16.16,$1.47,10.99
2019-06-30,14.0,$0.51,27.57
2019-03-31,15.16,$0.78,19.41
2018-12-31,13.11,$0.62,21.07
2018-09-30,17.21,$0.60,28.53
2018-06-30,17.65,$0.98,18.08
2018-03-31,16.31,$-1.05,0.0
2017-12-31,19.28,$-1.16,0.0
2017-09-30,18.08,$-1.26,0.0
2017-06-30,17.64,$-1.34,0.0
2017-03-31,19.38,$0.50,38.76
2016-12-31,20.09,$0.78,25.7
2016-09-30,20.39,$0.71,28.67
2016-06-30,21.48,$0.87,24.67
2016-03-31,18.46,$0.63,29.38
2015-12-31,16.62,$0.72,23.02
