Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,227.51,,31.27
2024-06-30,209.93,$7.28,28.85
2024-03-31,204.49,$7.76,26.36
2023-12-31,187.43,$7.70,24.34
2023-09-30,187.56,$7.12,26.33
2023-06-30,184.69,$6.22,29.7
2023-03-31,162.97,$5.74,28.37
2022-12-31,161.38,$5.93,27.21
2022-09-30,145.04,$5.71,25.38
2022-06-30,150.27,$5.57,26.99
2022-03-31,164.44,$5.37,30.61
2021-12-31,167.14,$6.06,27.57
2021-09-30,145.11,$6.09,23.85
2021-06-30,134.32,$6.35,21.14
2021-03-31,115.86,$6.48,17.88
2020-12-31,110.82,$5.93,18.7
2020-09-30,108.2,$5.18,20.89
2020-06-30,100.88,$4.38,23.05
2020-03-31,80.81,$3.00,26.98
2019-12-31,103.72,$3.80,27.32
2019-09-30,92.71,$3.96,23.38
2019-06-30,92.02,$3.76,24.49
2019-03-31,86.24,$4.28,20.14
2018-12-31,73.24,$4.14,17.68
2018-09-30,75.58,$3.46,21.86
2018-06-30,74.53,$3.24,23.04
2018-03-31,74.75,$3.14,23.78
2017-12-31,73.34,$3.08,23.8
2017-09-30,75.18,$3.33,22.56
2017-06-30,69.93,$3.52,19.84
2017-03-31,65.97,$3.67,17.96
2016-12-31,60.05,$3.36,17.9
2016-09-30,59.44,$3.33,17.85
2016-06-30,60.2,$3.26,18.48
2016-03-31,53.19,$2.85,18.69
2015-12-31,48.22,$2.92,16.52
2015-09-30,45.15,$3.01,15.02
2015-06-30,48.76,$2.95,16.51
2015-03-31,48.0,$2.91,16.51
2014-12-31,48.74,$3.17,15.37
2014-09-30,44.33,$2.73,16.22
2014-06-30,43.65,$2.43,17.98
2014-03-31,41.31,$2.05,20.11
2013-12-31,40.3,$1.69,23.8
2013-09-30,36.08,$1.43,25.25
2013-06-30,32.87,$1.34,24.48
2013-03-31,31.07,$1.61,19.31
2012-12-31,28.03,$1.83,15.35
2012-09-30,27.4,$2.06,13.3
2012-06-30,25.85,$2.10,12.29
2012-03-31,26.12,$2.39,10.93
2011-12-31,25.01,$2.59,9.65
2011-09-30,20.83,$2.54,8.2
2011-06-30,24.3,$0.93,26.16
2011-03-31,23.07,$0.66,35.21
2010-12-31,21.0,$0.84,24.99
2010-09-30,18.36,$0.01,1624.92
2010-06-30,17.02,$1.62,10.5
2010-03-31,18.28,$1.04,17.53
2009-12-31,16.38,$0.65,25.09
