Cohu Price to Free Cash Flow Ratio Historical Data,Cohu Price to Free Cash Flow Ratio Historical Data,Cohu Price to Free Cash Flow Ratio Historical Data,Cohu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.18,,224.22
2024-06-30,33.1,$0.11,294.75
2024-03-31,33.33,$-0.60,0.0
2023-12-31,35.39,$0.24,147.58
2023-09-30,34.44,$0.98,35.01
2023-06-30,41.56,$1.30,32.05
2022-12-31,32.05,$2.02,15.89
2022-09-30,25.78,$3.08,8.37
2022-06-30,27.75,$2.60,10.69
2022-03-31,29.6,$2.39,12.38
2021-12-31,38.09,$2.94,12.97
2023-03-31,38.39,$1.48,25.96
2021-09-30,31.94,$1.64,19.45
2021-06-30,36.79,$1.58,23.33
2021-03-31,41.84,$0.84,49.89
2020-12-31,38.18,$1.15,33.12
2020-09-30,17.18,$0.98,17.56
2020-06-30,17.34,$0.51,33.78
2020-03-31,12.38,$-0.54,0.0
2019-12-31,22.79,$-0.87,0.0
2019-09-30,13.43,$-0.34,0.0
2019-06-30,15.27,$0.05,309.7
2018-12-31,15.79,$0.96,16.47
2018-09-30,24.59,$2.04,12.07
2018-06-30,23.95,$1.30,18.36
2018-03-31,22.24,$1.65,13.5
2017-12-31,21.34,$2.13,10.04
2019-03-31,14.54,$0.68,21.34
2017-09-30,23.12,$0.85,27.36
2017-06-30,15.21,$0.44,34.64
2017-03-31,17.78,$0.55,32.17
2016-12-31,13.34,$0.80,16.68
2016-09-30,11.21,$1.63,6.89
2016-06-30,10.3,$1.92,5.35
2016-03-31,11.22,$1.62,6.94
2015-12-31,11.34,$1.80,6.3
2015-09-30,9.22,$1.33,6.91
2015-06-30,12.3,$0.84,14.69
2015-03-31,10.12,$1.21,8.38
2014-12-31,10.95,$0.70,15.62
2014-09-30,10.95,$0.16,67.86
2014-06-30,9.74,$-0.09,0.0
2014-03-31,9.73,$-0.12,0.0
2013-12-31,9.45,$-0.01,0.0
2013-09-30,9.76,$0.04,244.63
2013-06-30,11.12,$0.27,40.92
2013-03-31,8.28,$-0.26,0.0
2012-12-31,9.53,$0.24,40.42
2012-09-30,8.2,$0.29,27.86
2012-06-30,8.81,$-0.11,0.0
2011-12-31,9.73,$0.44,22.02
2011-09-30,8.42,$0.51,16.37
2011-06-30,11.11,$0.40,27.68
2011-03-31,12.95,$0.88,14.76
2010-12-31,13.92,$0.62,22.46
2010-09-30,10.53,$0.24,44.71
2010-06-30,10.09,$0.20,51.06
2010-03-31,11.41,$0.24,48.5
2009-12-31,11.51,$0.01,1055.95
2009-09-30,11.13,$0.08,132.83
