Voya Financial Price to Free Cash Flow Ratio Historical Data,Voya Financial Price to Free Cash Flow Ratio Historical Data,Voya Financial Price to Free Cash Flow Ratio Historical Data,Voya Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,83.9,,6.73
2024-06-30,70.69,$12.47,5.67
2024-03-31,73.05,$15.84,4.61
2023-12-31,71.68,$15.06,4.76
2023-09-30,64.92,$13.37,4.85
2023-06-30,69.66,$13.75,5.07
2023-03-31,69.22,$10.60,6.53
2022-12-31,59.4,$12.27,4.84
2022-09-30,58.26,$12.03,4.84
2022-06-30,57.15,$9.12,6.26
2022-03-31,63.46,$10.42,6.09
2021-12-31,63.23,$0.17,361.53
2021-09-30,58.35,$2.88,20.28
2021-06-30,58.31,$4.46,13.07
2021-03-31,60.19,$3.73,16.14
2020-12-31,55.47,$10.33,5.37
2020-09-30,45.09,$9.25,4.87
2020-06-30,43.76,$8.62,5.08
2020-03-31,37.92,$7.49,5.06
2019-12-31,56.86,$8.91,6.38
2019-09-30,50.64,$7.04,7.19
2019-06-30,51.28,$8.67,5.92
2019-03-31,46.32,$9.72,4.76
2018-12-31,37.21,$11.11,3.35
2018-09-30,46.04,$12.38,3.72
2018-06-30,43.56,$11.73,3.71
2018-03-31,46.79,$11.09,4.22
2017-12-31,45.83,$8.59,5.33
2017-09-30,36.94,$12.19,3.03
2017-06-30,34.16,$13.18,2.59
2017-03-31,35.14,$14.91,2.36
2016-12-31,36.29,$18.21,1.99
2016-09-30,26.66,$14.63,1.82
2016-06-30,22.9,$15.93,1.44
2016-03-31,27.52,$12.99,2.12
2015-12-31,34.11,$14.28,2.39
2015-09-30,35.82,$14.58,2.46
2015-06-30,42.93,$13.43,3.2
2015-03-31,39.82,$15.49,2.57
2014-12-31,39.13,$14.10,2.78
2014-09-30,36.1,$19.06,1.89
2014-06-30,33.54,$8.70,3.86
2014-03-31,33.47,$15.75,2.12
