SolarWinds Price to Free Cash Flow Ratio Historical Data,SolarWinds Price to Free Cash Flow Ratio Historical Data,SolarWinds Price to Free Cash Flow Ratio Historical Data,SolarWinds Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.06,,11.71
2024-06-30,12.05,$1.12,10.81
2024-03-31,11.6,$1.21,9.62
2023-12-31,11.48,$1.00,11.42
2023-09-30,8.67,$0.90,9.61
2023-06-30,9.43,$0.60,15.71
2023-03-31,7.9,$0.57,13.8
2022-12-31,8.6,$0.83,10.32
2022-09-30,7.12,$0.82,8.67
2022-06-30,9.42,$0.87,10.77
2022-03-31,12.23,$0.83,14.82
2021-12-31,13.04,$0.66,19.73
2021-09-30,15.37,$0.90,17.07
2021-06-30,28.78,$0.81,35.73
2021-03-31,29.71,$1.25,23.83
2020-12-31,25.47,$1.63,15.66
2020-09-30,34.66,$1.16,29.89
2020-06-30,30.11,$1.52,19.84
2020-03-31,26.7,$1.37,19.46
2019-12-31,31.61,$1.29,24.46
2019-09-30,31.43,$4.67,6.73
