Entegris Price to Free Cash Flow Ratio Historical Data,Entegris Price to Free Cash Flow Ratio Historical Data,Entegris Price to Free Cash Flow Ratio Historical Data,Entegris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,104.16,,57.05
2024-06-30,135.29,$1.83,74.1
2024-03-31,140.32,$2.47,56.78
2023-12-31,119.53,$1.13,105.33
2023-09-30,93.58,$1.12,83.24
2023-06-30,110.32,$0.34,322.4
2022-12-31,65.13,$-0.80,0.0
2022-09-30,82.33,$1.28,64.34
2022-06-30,91.28,$1.26,72.31
2022-03-31,129.94,$1.98,65.79
2021-12-31,137.08,$2.42,56.65
2023-03-31,81.53,$1.22,66.77
2021-09-30,124.46,$2.22,56.18
2021-06-30,121.48,$1.98,61.32
2021-03-31,110.37,$2.46,44.78
2020-12-31,94.8,$2.31,41.02
2020-09-30,73.26,$1.95,37.59
2020-06-30,58.12,$1.44,40.37
2020-03-31,44.0,$2.17,20.32
2019-12-31,49.16,$1.98,24.87
2019-09-30,46.11,$1.62,28.39
2019-06-30,36.5,$2.03,18.02
2019-03-31,34.85,$1.14,30.55
2018-12-31,27.24,$1.42,19.19
2018-09-30,28.19,$1.44,19.59
2018-06-30,32.95,$1.94,16.99
2018-03-31,33.75,$1.40,24.1
2017-12-31,29.47,$1.66,17.8
2017-09-30,27.86,$1.65,16.91
2017-03-31,22.6,$1.08,20.86
2016-12-31,17.29,$1.00,17.26
2016-09-30,16.82,$0.55,30.32
2016-06-30,13.97,$0.58,24.0
2016-03-31,13.15,$0.33,39.86
2015-12-31,12.81,$0.49,25.98
2017-06-30,21.2,$0.53,39.97
2015-09-30,12.74,$0.24,52.22
2015-06-30,14.07,$0.54,25.91
2015-03-31,13.22,$0.35,37.38
2014-12-31,12.76,$0.49,26.01
2014-09-30,11.11,$0.51,21.96
2014-06-30,13.27,$0.25,52.28
2014-03-31,11.69,$0.40,28.96
2013-12-31,11.19,$0.35,31.86
2013-09-30,9.81,$0.38,25.61
2013-06-30,9.06,$0.43,20.95
2013-03-31,9.52,$0.48,19.71
2012-12-31,8.87,$0.47,18.81
2012-09-30,7.85,$0.55,14.16
2012-06-30,8.25,$0.67,12.27
2012-03-31,9.02,$0.83,10.92
2011-12-31,8.43,$0.93,9.04
2011-09-30,6.16,$0.92,6.73
2011-06-30,9.77,$0.93,10.55
2011-03-31,8.48,$0.78,10.86
2010-12-31,7.21,$0.93,7.74
2010-09-30,4.51,$0.75,6.01
2010-06-30,3.83,$0.43,8.87
2010-03-31,4.86,$0.26,18.49
2009-12-31,5.1,$-0.08,0.0
