Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data,Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data,Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data,Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.92,,11.6
2024-06-30,40.04,$3.10,12.93
2024-03-31,38.5,$4.30,8.95
2023-12-31,36.35,$3.52,10.31
2023-09-30,36.51,$3.22,11.35
2023-06-30,40.65,$2.84,14.31
2023-03-31,41.59,$1.72,24.17
2022-12-31,37.66,$0.58,65.2
2022-09-30,36.41,$0.85,42.8
2022-06-30,33.48,$1.58,21.19
2022-03-31,35.41,$2.67,13.26
2021-12-31,43.96,$3.20,13.72
2021-09-30,34.78,$3.12,11.15
2021-06-30,41.91,$3.91,10.73
2021-03-31,37.68,$2.63,14.31
2020-12-31,32.74,$2.70,12.14
2020-09-30,26.29,$3.39,7.76
2020-06-30,29.38,$3.03,9.69
2020-03-31,22.7,$-1.17,0.0
2019-12-31,29.19,$-1.14,0.0
2019-09-30,30.63,$1.81,16.91
2019-06-30,25.41,$1.78,14.28
2018-09-30,43.59,$3.71,11.75
2018-06-30,47.57,$8.18,5.82
2018-03-31,46.03,$3.63,12.69
2017-12-31,55.99,$4.13,13.55
2017-09-30,68.61,$5.70,12.03
2019-03-31,41.38,$-0.94,0.0
2017-06-30,71.67,$4.41,16.25
2017-03-31,68.96,$2.76,24.99
2016-12-31,68.82,$0.84,82.34
2016-09-30,74.97,$1.40,53.6
2016-06-30,79.58,$-2.57,0.0
2018-12-31,35.21,$-1.12,0.0
2016-03-31,75.92,$-1.62,0.0
2015-12-31,73.89,$-8.08,0.0
2015-09-30,76.93,$-4.25,0.0
2015-06-30,92.03,$-3.70,0.0
2015-03-31,96.23,$0.37,262.64
2014-09-30,85.23,$7.93,10.74
2014-06-30,84.07,$16.52,5.09
2014-03-31,69.1,$13.61,5.08
2013-12-31,73.86,$14.14,5.22
2013-09-30,61.9,$16.07,3.85
2014-12-31,89.29,$5.78,15.46
2013-06-30,67.91,$10.34,6.57
2013-03-31,67.12,$8.66,7.75
2012-12-31,53.59,$8.72,6.15
2012-09-30,49.73,$8.22,6.05
2012-06-30,49.86,$7.31,6.82
2012-03-31,49.15,$6.52,7.54
2011-12-31,51.34,$5.25,9.78
2011-09-30,44.03,$4.58,9.61
2011-06-30,47.95,$4.21,11.4
2011-03-31,47.15,$5.50,8.57
2010-12-31,48.31,$6.40,7.55
2010-09-30,44.55,$7.72,5.77
2010-06-30,33.32,$8.50,3.92
2010-03-31,41.59,$7.92,5.25
2009-12-31,40.61,$6.63,6.12
