ESCO Technologies Price to Free Cash Flow Ratio Historical Data,ESCO Technologies Price to Free Cash Flow Ratio Historical Data,ESCO Technologies Price to Free Cash Flow Ratio Historical Data,ESCO Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,127.89,,54.13
2024-06-30,104.89,$2.36,44.4
2024-03-31,106.9,$2.35,45.5
2023-12-31,116.7,$2.19,53.34
2023-09-30,104.06,$1.63,63.94
2023-06-30,103.17,$3.33,31.0
2023-03-31,95.03,$2.72,34.95
2022-12-31,87.0,$3.36,25.86
2022-09-30,72.91,$3.46,21.06
2022-06-30,67.8,$1.65,41.21
2022-03-31,69.26,$1.56,44.32
2021-12-31,89.06,$1.30,68.45
2021-09-30,76.2,$3.32,22.93
2021-06-30,92.74,$2.22,41.79
2021-03-31,107.56,$2.21,48.59
2020-09-30,79.45,$1.57,50.46
2020-06-30,83.2,$2.87,28.97
2020-03-31,74.63,$3.24,23.04
2019-12-31,90.94,$3.06,29.72
2019-09-30,78.07,$3.56,21.94
2020-12-31,101.88,$1.49,68.57
2019-06-30,81.0,$2.25,35.96
2019-03-31,65.64,$2.23,29.4
2018-12-31,64.5,$3.13,20.63
2018-09-30,66.47,$1.94,34.25
2018-06-30,56.28,$0.92,61.21
2017-09-30,58.24,$1.15,50.82
2017-06-30,57.95,$1.44,40.27
2017-03-31,56.37,$2.66,21.19
2016-12-31,54.89,$2.38,23.07
2016-09-30,44.91,$1.98,22.71
2016-06-30,38.58,$1.88,20.54
2016-03-31,37.57,$1.56,24.05
2015-12-31,34.76,$0.92,37.59
2015-09-30,34.46,$2.00,17.24
2015-06-30,35.83,$0.63,56.48
2015-03-31,37.25,$0.79,47.14
2018-03-31,57.03,$1.36,42.08
2014-12-31,35.19,$1.00,35.32
2014-09-30,33.1,$0.83,39.91
2014-06-30,32.81,$1.31,25.06
2014-03-31,33.18,$1.47,22.53
2013-12-31,32.38,$0.70,46.38
2013-09-30,31.26,$0.93,33.67
2013-06-30,30.39,$0.77,39.43
2013-03-31,38.27,$1.02,37.47
2012-12-31,34.96,$2.13,16.44
2012-09-30,36.23,$2.46,14.71
2017-12-31,58.61,$1.31,44.62
2012-06-30,33.91,$1.96,17.3
2012-03-31,34.14,$1.24,27.57
2011-12-31,26.65,$1.39,19.16
2011-09-30,23.54,$2.15,10.95
2011-06-30,33.9,$2.73,12.42
2011-03-31,35.07,$2.82,12.43
2010-12-31,34.71,$2.18,15.89
2010-09-30,30.43,$1.67,18.18
2010-06-30,23.49,$1.36,17.26
2010-03-31,29.02,$1.54,18.84
2009-12-31,32.62,$2.39,13.65
