Cogent Biosciences Price to Free Cash Flow Ratio Historical Data,Cogent Biosciences Price to Free Cash Flow Ratio Historical Data,Cogent Biosciences Price to Free Cash Flow Ratio Historical Data,Cogent Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.64,,0.0
2024-06-30,8.43,$-1.94,0.0
2024-03-31,6.72,$-1.94,0.0
2023-12-31,5.88,$-1.96,0.0
2023-09-30,9.75,$-2.08,0.0
2023-06-30,11.84,$-1.98,0.0
2023-03-31,10.79,$-2.07,0.0
2022-12-31,11.56,$-2.14,0.0
2022-09-30,14.92,$-1.93,0.0
2022-06-30,9.02,$-2.08,0.0
2022-03-31,7.49,$-1.87,0.0
2021-12-31,8.58,$-1.56,0.0
2021-09-30,8.41,$-1.63,0.0
2021-06-30,8.11,$-1.01,0.0
2021-03-31,8.78,$-1.75,0.0
2020-12-31,11.23,$-2.48,0.0
2020-09-30,9.36,$9.90,0.95
2020-06-30,1.84,$-4.51,0.0
2020-03-31,1.65,$-4.94,0.0
2019-12-31,2.88,$-5.43,0.0
2019-09-30,5.76,$-19.25,0.0
2019-06-30,10.48,$-6.07,0.0
2019-03-31,17.56,$-3.69,0.0
2018-12-31,17.6,$-5.31,0.0
