Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,283.74,,13.3
2024-06-30,259.65,$21.33,12.17
2024-03-31,292.3,$20.65,14.15
2023-12-31,283.07,$19.70,14.37
2023-09-30,248.29,$18.03,13.77
2023-06-30,278.84,$15.22,18.32
2023-03-31,237.41,$12.89,18.42
2022-12-31,218.27,$11.00,19.85
2022-09-30,191.03,$11.27,16.95
2022-06-30,185.8,$12.40,14.99
2022-03-31,192.49,$14.16,13.59
2021-12-31,200.4,$16.34,12.27
2021-09-30,193.15,$17.92,10.78
2021-06-30,205.37,$18.66,11.01
2021-03-31,211.04,$19.12,11.04
2020-12-31,155.54,$17.24,9.02
2020-09-30,132.77,$15.05,8.82
2020-06-30,124.1,$12.99,9.55
2020-03-31,96.72,$10.67,9.07
2019-12-31,149.55,$10.32,14.49
2019-09-30,137.28,$10.57,12.98
2019-06-30,144.34,$10.46,13.8
2019-03-31,135.57,$11.28,12.02
2018-12-31,125.1,$11.77,10.63
2018-09-30,157.18,$11.23,13.99
2018-06-30,136.95,$10.81,12.67
2018-03-31,125.04,$9.77,12.8
2017-12-31,146.93,$9.01,16.31
2017-09-30,124.96,$8.56,14.6
2017-06-30,131.88,$8.87,14.87
2017-03-31,140.18,$9.38,14.95
2016-12-31,141.75,$8.48,16.71
2016-09-30,125.24,$8.49,14.75
2016-06-30,129.55,$8.48,15.28
2016-03-31,128.39,$8.32,15.43
2015-12-31,139.61,$7.28,19.17
2015-09-30,122.48,$6.31,19.4
2015-06-30,128.8,$5.82,22.14
2015-03-31,118.53,$5.30,22.37
2014-12-31,109.82,$5.47,20.07
2014-09-30,96.86,$5.89,16.43
2014-06-30,94.49,$5.88,16.06
2014-03-31,90.12,$5.74,15.69
2013-12-31,86.63,$5.59,15.5
2013-09-30,78.37,$5.14,15.24
2013-06-30,70.12,$4.89,14.35
2013-03-31,64.61,$4.56,14.18
2012-12-31,61.41,$4.29,14.33
2012-09-30,55.59,$3.87,14.37
2012-06-30,47.92,$3.51,13.64
2012-03-31,46.66,$1.81,25.71
2011-12-31,38.52,$1.21,31.85
2011-09-30,33.58,$0.83,40.32
2011-06-30,46.93,$0.44,107.84
2011-03-31,44.88,$1.74,25.73
2010-12-31,42.05,$1.66,25.26
2010-09-30,34.35,$2.45,14.02
2010-06-30,30.0,$3.49,8.59
2010-03-31,31.57,$4.97,6.35
2009-12-31,30.57,$4.91,6.23
