LCI Industries Price to Free Cash Flow Ratio Historical Data,LCI Industries Price to Free Cash Flow Ratio Historical Data,LCI Industries Price to Free Cash Flow Ratio Historical Data,LCI Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,123.0,,8.04
2024-06-30,102.47,$15.30,6.7
2024-03-31,121.97,$15.37,7.94
2023-12-31,123.48,$18.28,6.75
2023-09-30,114.23,$16.88,6.77
2023-06-30,121.91,$17.05,7.15
2023-03-31,104.98,$17.12,6.13
2022-12-31,87.52,$18.49,4.73
2022-09-30,95.04,$9.07,10.48
2022-06-30,103.85,$3.31,31.36
2022-03-31,95.5,$-3.98,0.0
2021-12-31,142.29,$-8.26,0.0
2021-09-30,122.2,$-2.79,0.0
2021-06-30,118.53,$2.71,43.81
2021-03-31,118.59,$4.79,24.75
2020-12-31,115.66,$6.89,16.78
2020-09-30,94.24,$9.25,10.19
2020-06-30,101.27,$6.14,16.49
2020-03-31,58.52,$8.76,6.68
2019-12-31,93.14,$8.42,11.06
2019-09-30,79.35,$7.28,10.89
2019-06-30,77.17,$6.24,12.37
2019-03-31,65.38,$3.80,17.23
2018-12-31,56.42,$1.44,39.06
2018-09-30,69.35,$1.31,53.07
2018-06-30,75.03,$1.43,52.56
2018-03-31,86.06,$0.97,88.67
2017-12-31,106.87,$2.58,41.42
2017-09-30,94.8,$2.47,38.44
2017-06-30,83.36,$3.58,23.31
2017-03-31,80.79,$5.17,15.62
2016-12-31,86.84,$6.30,13.79
2016-09-30,78.62,$7.45,10.55
2016-06-30,67.84,$6.64,10.21
2016-03-31,51.35,$4.34,11.83
2015-12-31,48.28,$2.77,17.41
2015-09-30,43.3,$2.16,20.05
2015-06-30,46.0,$2.12,21.7
2015-03-31,48.79,$1.87,26.13
2014-12-31,39.21,$2.80,14.0
2014-09-30,32.39,$2.28,14.23
2014-06-30,38.39,$3.15,12.18
2014-03-31,41.61,$3.47,11.99
2013-12-31,39.31,$2.17,18.12
2013-09-30,33.63,$2.34,14.35
2013-06-30,29.04,$1.03,28.31
2013-03-31,26.81,$1.70,15.74
2012-12-31,23.82,$2.02,11.8
2012-09-30,20.89,$1.85,11.28
2012-06-30,19.26,$2.27,8.47
2012-03-31,18.89,$0.51,37.02
2011-12-31,16.96,$0.62,27.48
2011-09-30,13.82,$0.93,14.79
2011-06-30,17.09,$0.91,18.73
2011-03-31,15.44,$1.18,13.14
2010-12-31,15.71,$1.51,10.38
2010-09-30,13.52,$1.39,9.75
2010-06-30,13.09,$2.22,5.9
2010-03-31,14.27,$2.79,5.11
2009-12-31,13.38,$2.82,4.74
