Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,11.19,,8.55
2024-06-30,12.35,$1.31,9.44
2024-03-31,12.92,$1.22,10.55
2023-12-31,11.55,$1.65,6.99
2023-09-30,11.59,$1.38,8.4
2023-06-30,13.97,$1.31,10.66
2023-03-31,11.49,$0.86,13.33
2022-12-31,9.98,$-0.00,0.0
2022-09-30,9.51,$0.65,14.53
2022-06-30,9.36,$1.48,6.3
2022-03-31,14.13,$0.98,14.42
2021-12-31,17.26,$2.37,7.28
2021-09-30,11.71,$2.72,4.3
2021-06-30,12.29,$3.83,3.21
2021-03-31,10.13,$6.01,1.69
2020-12-31,7.27,$4.66,1.56
2020-09-30,5.51,$4.03,1.37
2020-06-30,5.03,$2.32,2.17
2020-03-31,3.99,$1.45,2.75
2019-12-31,7.56,$2.50,3.03
2019-09-30,7.33,$2.15,3.4
2019-06-30,8.06,$2.22,3.63
2019-03-31,6.81,$1.85,3.67
2018-12-31,5.83,$1.81,3.22
2018-09-30,6.93,$2.26,3.07
2018-06-30,8.18,$2.29,3.57
2018-03-31,8.08,$2.54,3.18
2017-12-31,8.88,$2.76,3.21
2017-09-30,8.41,$2.69,3.13
2017-06-30,7.76,$2.72,2.86
2017-03-31,7.96,$3.21,2.48
2016-12-31,8.17,$3.22,2.54
2016-09-30,8.02,$3.11,2.58
2016-06-30,8.27,$3.41,2.43
2016-03-31,8.78,$2.76,3.18
2015-12-31,8.87,$2.26,3.93
2015-09-30,8.46,$2.21,3.83
2015-06-30,9.26,$1.93,4.79
2015-03-31,9.87,$1.76,5.6
2014-12-31,9.38,$1.78,5.27
2014-09-30,8.87,$1.36,6.53
2014-06-30,10.26,$1.02,10.05
2014-03-31,9.22,$1.43,6.46
2013-12-31,9.04,$0.94,9.61
2013-09-30,9.83,$0.76,12.93
2013-06-30,8.96,$0.75,11.92
2013-03-31,7.56,$0.33,22.82
2012-12-31,7.39,$0.89,8.34
2012-09-30,5.6,$1.09,5.15
2012-06-30,5.42,$1.23,4.4
2012-03-31,7.02,$1.21,5.8
2011-12-31,6.03,$1.34,4.51
2011-09-30,5.42,$2.51,2.16
2011-06-30,7.73,$2.44,3.17
2011-03-31,8.35,$2.14,3.91
2010-12-31,9.41,$1.84,5.1
2010-06-30,5.65,$2.22,2.54
2010-03-31,7.04,$2.57,2.74
2009-12-31,5.6,$3.45,1.63
2009-09-30,4.04,$5.12,0.79
