Charles River Associates Price to Free Cash Flow Ratio Historical Data,Charles River Associates Price to Free Cash Flow Ratio Historical Data,Charles River Associates Price to Free Cash Flow Ratio Historical Data,Charles River Associates Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,196.32,,24.06
2024-06-30,171.78,$8.16,21.05
2024-03-31,148.83,$8.74,17.02
2023-12-31,98.06,$8.11,12.1
2023-09-30,99.52,$7.86,12.67
2023-06-30,100.41,$4.50,22.33
2023-03-31,105.74,$1.58,66.87
2022-12-31,119.66,$2.90,41.3
2022-09-30,86.48,$2.73,31.65
2022-06-30,86.75,$3.59,24.17
2022-03-31,81.54,$6.34,12.85
2021-12-31,90.02,$9.59,9.39
2021-09-30,95.48,$9.66,9.88
2021-06-30,82.04,$7.07,11.61
2021-03-31,71.32,$8.67,8.22
2020-12-31,48.49,$4.73,10.26
2020-09-30,35.47,$2.07,17.14
2020-06-30,37.2,$0.15,248.69
2020-03-31,31.28,$-0.89,0.0
2019-12-31,50.75,$1.36,37.21
2019-09-30,38.93,$0.94,41.6
2019-06-30,35.38,$1.22,29.08
2019-03-31,46.41,$0.65,71.05
2018-12-31,38.92,$2.42,16.08
2018-09-30,45.74,$1.41,32.41
2018-06-30,46.22,$0.66,70.17
2018-03-31,47.34,$1.60,29.52
2017-12-31,40.56,$4.25,9.55
2017-09-30,36.91,$3.85,9.6
2017-06-30,32.53,$4.14,7.86
2017-03-31,31.51,$3.31,9.52
2016-12-31,32.52,$4.09,7.96
2016-09-30,23.52,$2.74,8.58
2016-06-30,22.31,$1.74,12.79
2016-03-31,17.37,$-1.42,0.0
2015-12-31,16.5,$2.13,7.76
2015-09-30,19.09,$2.33,8.21
2015-03-31,27.53,$1.27,21.64
2014-12-31,26.82,$2.62,10.23
2014-09-30,22.49,$5.01,4.49
2014-06-30,20.39,$1.81,11.23
2014-03-31,19.43,$2.78,6.99
2013-12-31,17.51,$2.44,7.19
2015-06-30,24.65,$-2.71,0.0
2013-09-30,16.47,$-0.59,0.0
2013-06-30,16.34,$-1.08,0.0
2013-03-31,19.79,$0.07,298.0
2012-12-31,17.49,$-1.11,0.0
2012-09-30,15.29,$-0.03,0.0
2012-06-30,12.99,$0.38,33.79
2012-03-31,22.31,$0.45,49.71
2011-12-31,17.55,$2.03,8.65
2011-09-30,17.7,$-0.59,0.0
2011-06-30,23.96,$-0.44,0.0
2011-03-31,25.5,$1.17,21.74
2010-12-31,20.8,$1.67,12.48
2010-11-30,19.55,$0.17,115.4
2010-08-31,14.06,$0.02,717.58
2010-06-30,16.66,$-0.99,0.0
2010-05-31,19.65,$-0.75,0.0
2010-02-28,23.53,$2.82,8.34
2009-12-31,23.57,$-2.25,0.0
2009-11-30,22.0,$-0.00,0.0
