Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data,Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data,Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data,Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.21,,21.51
2024-06-30,80.33,$2.61,30.75
2024-03-31,75.83,$3.06,24.77
2023-12-31,59.95,$2.95,20.31
2023-09-30,49.72,$3.43,14.51
2023-06-30,69.71,$2.57,27.15
2023-03-31,63.56,$1.73,36.65
2022-12-31,63.04,$1.53,41.31
2022-09-30,63.24,$3.03,20.88
2022-06-30,80.69,$1.85,43.67
2022-03-31,64.07,$3.48,18.41
2021-12-31,90.52,$4.29,21.11
2021-09-30,65.24,$3.02,21.63
2021-06-30,60.36,$3.21,18.79
2021-03-31,55.64,$2.25,24.7
2020-12-31,44.86,$2.79,16.06
2020-09-30,34.85,$3.16,11.03
2020-06-30,44.6,$2.33,19.13
2020-03-31,33.25,$2.77,12.0
2019-12-31,45.66,$1.89,24.17
2019-09-30,31.56,$2.01,15.67
2019-06-30,39.63,$2.04,19.43
2019-03-31,35.39,$-1.58,0.0
2018-12-31,30.58,$0.92,33.09
2018-09-30,47.22,0,0.0
2018-06-30,46.27,0,0.0
2017-12-31,45.73,$2.57,17.81
2017-09-30,41.21,$3.19,12.91
2017-06-30,41.19,$3.19,12.91
2017-03-31,39.77,$3.19,12.46
2016-12-31,35.96,$3.19,11.27
2016-09-30,43.63,$1.20,36.42
2016-06-30,40.16,$1.20,33.52
2016-03-31,32.48,$1.20,27.11
2015-12-31,26.12,$1.20,21.8
2018-03-31,41.83,$1.66,25.24
2015-06-30,28.52,$1.66,17.21
2015-03-31,22.04,$1.66,13.3
2014-12-31,19.3,$1.66,11.64
2014-09-30,21.84,$1.08,20.23
2014-06-30,16.46,$1.08,15.25
2014-03-31,13.4,$1.08,12.41
2013-12-31,11.2,$1.08,10.37
2013-09-30,10.21,$1.92,5.32
2013-06-30,8.18,$1.92,4.26
2013-03-31,8.92,$1.92,4.64
2012-12-31,10.72,$1.92,5.58
2012-09-30,11.14,$1.41,7.92
2012-06-30,10.64,$1.41,7.56
2012-03-31,14.6,$1.41,10.38
2011-12-31,15.44,$1.41,10.98
2011-09-30,8.71,0,0.0
2011-06-30,8.08,0,0.0
2011-03-31,6.09,0,0.0
2010-12-31,3.2,0,0.0
2010-09-30,4.11,0,0.0
2010-06-30,3.9,0,0.0
2010-03-31,3.37,0,0.0
2009-12-31,2.57,0,0.0
