Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,360.42,,690.33
2024-06-30,340.25,$0.52,651.7
2023-12-31,298.09,$8.17,36.47
2023-09-30,271.3,$9.80,27.69
2023-06-30,302.06,$7.54,40.04
2023-03-31,281.93,$8.12,34.73
2022-12-31,240.82,$8.31,28.99
2024-03-31,357.03,$3.29,108.38
2022-09-30,198.89,$5.28,37.67
2022-06-30,194.69,$5.41,36.01
2022-03-31,260.74,$6.41,40.65
2021-12-31,260.13,$7.16,36.32
2021-09-30,255.88,$7.90,32.4
2021-06-30,251.42,$7.77,32.36
2021-03-31,235.21,$7.13,33.01
2020-12-31,236.01,$7.34,32.17
2020-09-30,200.17,$5.93,33.74
2020-06-30,172.62,$5.19,33.28
2020-03-31,158.98,$4.73,33.59
2019-12-31,199.76,$4.06,49.21
2019-09-30,205.25,$4.99,41.13
2019-06-30,194.6,$5.02,38.73
2019-03-31,186.49,$5.40,34.53
2018-12-31,147.61,$5.36,27.54
2018-09-30,166.76,$4.31,38.68
2018-06-30,158.05,$2.89,54.74
2018-03-31,150.21,$-0.77,0.0
2017-12-31,144.1,$-1.90,0.0
2017-09-30,131.77,$-0.16,0.0
2017-06-30,128.38,$1.01,127.28
2016-12-31,110.14,$3.76,29.25
2016-09-30,106.63,$6.27,17.02
2016-06-30,109.41,$3.26,33.6
2016-03-31,97.64,$0.72,135.88
2015-12-31,84.28,$1.09,77.12
2017-03-31,121.41,$0.13,942.64
2015-09-30,85.0,$1.71,49.71
2015-06-30,86.0,$4.49,19.14
2015-03-31,82.72,$4.55,18.16
2014-12-31,84.27,$4.05,20.83
2014-09-30,71.88,$4.04,17.78
2014-06-30,74.78,$4.31,17.34
2014-03-31,71.99,$4.30,16.74
2013-12-31,66.15,$4.43,14.95
2013-09-30,59.26,$4.24,13.97
2013-06-30,56.49,$4.07,13.9
2013-03-31,56.74,$4.31,13.16
2012-12-31,47.49,$3.78,12.57
2012-09-30,47.98,$3.79,12.65
2012-06-30,47.32,$3.47,13.65
2012-03-31,47.46,$2.70,17.59
2011-12-31,42.36,$3.27,12.94
2011-09-30,39.99,$3.00,13.34
2011-06-30,49.62,$3.06,16.24
2011-03-31,51.24,$3.49,14.68
2010-12-31,45.13,$3.57,12.64
2010-09-30,41.92,$3.65,11.47
2010-06-30,41.8,$4.29,9.75
2010-03-31,47.64,$3.33,14.29
2009-12-31,41.83,$3.33,12.55
