Essent Group Price to Free Cash Flow Ratio Historical Data,Essent Group Price to Free Cash Flow Ratio Historical Data,Essent Group Price to Free Cash Flow Ratio Historical Data,Essent Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.9,,8.6
2024-06-30,55.95,$7.55,7.41
2024-03-31,59.25,$7.36,8.05
2023-12-31,52.25,$7.08,7.37
2023-09-30,46.61,$6.68,6.98
2023-06-30,45.9,$6.46,7.11
2023-03-31,39.06,$5.49,7.11
2022-12-31,37.69,$5.43,6.94
2022-09-30,33.61,$5.56,6.05
2022-06-30,37.29,$5.58,6.68
2022-03-31,39.31,$6.33,6.21
2021-12-31,43.22,$6.34,6.82
2021-09-30,41.58,$6.58,6.32
2021-06-30,42.31,$6.47,6.54
2021-03-31,44.54,$6.83,6.52
2020-12-31,40.37,$6.82,5.92
2020-09-30,34.46,$6.55,5.26
2020-06-30,33.62,$6.65,5.06
2020-03-31,24.3,$6.22,3.91
2019-12-31,47.77,$5.97,8.0
2019-09-30,43.68,$5.71,7.65
2019-06-30,42.92,$5.55,7.74
2019-03-31,39.69,$5.48,7.24
2018-12-31,31.22,$6.34,4.92
2018-09-30,40.42,$6.17,6.55
2018-06-30,32.72,$5.79,5.65
2018-03-31,38.88,$5.28,7.37
2017-12-31,39.66,$3.84,10.32
2017-09-30,37.0,$3.40,10.88
2017-06-30,33.93,$3.16,10.74
2017-03-31,33.04,$3.04,10.89
2016-12-31,29.57,$2.94,10.05
2016-09-30,24.31,$2.86,8.51
2016-06-30,19.92,$2.78,7.16
2016-03-31,19.0,$2.65,7.17
2015-12-31,20.0,$2.42,8.28
2015-09-30,22.7,$2.28,9.94
2015-06-30,24.98,$2.18,11.44
2015-03-31,21.84,$0.14,157.47
2014-12-31,23.49,$1.61,14.6
2014-09-30,19.56,$1.16,16.81
