Symbotic Price to Free Cash Flow Ratio Historical Data,Symbotic Price to Free Cash Flow Ratio Historical Data,Symbotic Price to Free Cash Flow Ratio Historical Data,Symbotic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.38,,34.47
2024-06-30,35.16,$0.85,41.25
2024-03-31,45.0,$1.22,36.76
2023-12-31,51.33,$1.34,38.27
2023-09-30,33.43,$3.34,10.0
2023-06-30,42.81,$1.73,24.68
2023-03-31,22.84,$-1.10,0.0
2022-12-31,11.94,$-1.46,0.0
2022-09-30,11.5,$-3.07,0.0
2022-06-30,10.97,$-2.29,0.0
2022-03-31,9.91,$0.05,219.25
2021-12-31,10.0,$-0.16,0.0
