DHT Holdings Price to Free Cash Flow Ratio Historical Data,DHT Holdings Price to Free Cash Flow Ratio Historical Data,DHT Holdings Price to Free Cash Flow Ratio Historical Data,DHT Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.33,,18.31
2024-06-30,11.28,$0.62,18.24
2024-03-31,10.95,$0.85,12.86
2023-12-31,9.16,$0.76,12.08
2023-09-30,9.44,$1.04,9.07
2023-06-30,7.55,$1.53,4.95
2023-03-31,9.3,$1.69,5.5
2022-12-31,7.39,$1.40,5.29
2022-09-30,6.27,$0.90,6.98
2022-06-30,5.06,$0.78,6.5
2022-03-31,4.77,$0.62,7.68
2021-12-31,4.25,$-0.16,0.0
2021-09-30,5.33,$0.23,22.78
2021-06-30,5.28,$0.83,6.33
2021-03-31,4.79,$1.44,3.33
2020-12-31,4.19,$2.95,1.42
2020-09-30,3.98,$2.63,1.52
2020-06-30,3.65,$1.94,1.88
2020-03-31,5.15,$1.12,4.62
2019-12-31,5.26,$0.61,8.67
2019-09-30,3.88,$-0.61,0.0
2019-06-30,3.72,$-0.08,0.0
2019-03-31,2.77,$-0.82,0.0
2018-12-31,2.41,$-0.94,0.0
2018-09-30,2.87,$0.53,5.45
2018-06-30,2.85,$-1.04,0.0
2018-03-31,2.06,$-0.55,0.0
2017-12-31,2.16,$-0.41,0.0
2017-06-30,2.47,$-1.22,0.0
2017-03-31,2.61,$0.24,10.75
2016-12-31,2.38,$-0.21,0.0
2016-09-30,2.4,$-0.60,0.0
2016-06-30,2.75,$0.24,11.54
2016-03-31,3.02,$-0.14,0.0
2015-12-31,4.07,$0.56,7.23
2015-09-30,3.64,$0.90,4.04
2015-06-30,3.74,$0.13,28.59
2015-03-31,3.29,$-0.47,0.0
2014-12-31,3.42,$-3.61,0.0
2014-09-30,2.87,$-5.75,0.0
2014-06-30,3.35,$-4.90,0.0
2014-03-31,3.61,$-3.42,0.0
2013-12-31,3.16,$0.40,7.99
2013-09-30,2.01,$3.10,0.65
2013-06-30,2.06,$0.80,2.57
2013-03-31,2.18,$3.06,0.71
2012-12-31,1.86,$2.58,0.72
2012-09-30,2.83,$5.85,0.48
2012-06-30,3.25,$8.41,0.39
2012-03-31,4.88,$-5.32,0.0
2011-12-31,3.66,$-15.08,0.0
2011-09-30,9.88,$-16.45,0.0
2011-06-30,18.06,$-14.99,0.0
2011-03-31,22.17,$-2.15,0.0
2010-12-31,21.02,$8.40,2.5
2010-09-30,18.27,$19.31,0.95
2010-06-30,16.59,$6.01,2.76
2010-03-31,16.49,$7.40,2.23
2009-12-31,15.48,$8.56,1.81
2017-09-30,2.38,$-0.84,0.0
