Dave & Buster's Entertainment Price to Free Cash Flow Ratio Historical Data,Dave & Buster's Entertainment Price to Free Cash Flow Ratio Historical Data,Dave & Buster's Entertainment Price to Free Cash Flow Ratio Historical Data,Dave & Buster's Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.77,,0.0
2024-07-31,37.61,$-1.10,0.0
2024-04-30,53.4,$-0.16,0.0
2024-01-31,53.53,$0.80,67.21
2023-10-31,34.94,$2.90,12.03
2023-07-31,45.8,$3.04,15.08
2023-04-30,35.46,$2.96,11.98
2023-01-31,43.35,$4.30,10.08
2022-10-31,39.85,$3.97,10.04
2022-07-31,37.36,$3.34,11.18
2022-04-30,45.5,$4.74,9.61
2022-01-31,35.79,$3.89,9.2
2021-10-31,37.13,$1.91,19.44
2021-07-31,33.28,$1.87,17.82
2021-04-30,45.66,$-0.47,0.0
2021-01-31,34.02,$-3.03,0.0
2020-10-31,17.16,$-1.82,0.0
2020-07-31,12.34,$-0.91,0.0
2020-04-30,14.64,$0.11,135.18
2020-01-31,44.16,$1.81,24.42
2019-10-31,39.63,$2.64,14.99
2019-07-31,40.33,$2.43,16.57
2019-04-30,56.18,$2.61,21.49
2019-01-31,50.69,$3.04,16.65
2018-10-31,58.47,$1.69,34.5
2018-07-31,48.14,$1.39,34.68
2018-04-30,41.62,$0.83,50.34
2018-01-31,46.04,$1.05,43.71
2017-10-31,47.21,$1.38,34.29
2017-07-31,60.84,$1.68,36.16
2017-04-30,62.7,$1.43,43.82
2017-01-31,53.35,$1.17,45.47
2016-10-31,40.5,$1.50,27.02
2016-07-31,43.59,$1.24,35.1
2016-04-30,37.91,$1.11,34.26
2016-01-31,35.53,$0.57,62.75
2015-10-31,37.79,$0.49,77.81
2015-07-31,38.01,$-0.98,0.0
