Denali Therapeutics Price to Free Cash Flow Ratio Historical Data,Denali Therapeutics Price to Free Cash Flow Ratio Historical Data,Denali Therapeutics Price to Free Cash Flow Ratio Historical Data,Denali Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.42,,0.0
2024-06-30,23.22,$-2.67,0.0
2024-03-31,20.52,$-3.02,0.0
2023-12-31,21.46,$-2.70,0.0
2023-09-30,20.63,$-2.55,0.0
2023-06-30,29.51,$-2.38,0.0
2023-03-31,23.04,$-1.92,0.0
2022-12-31,27.81,$-2.09,0.0
2022-09-30,30.69,$-2.06,0.0
2022-06-30,29.43,$-1.91,0.0
2022-03-31,32.17,$-1.99,0.0
2021-12-31,44.6,$-1.81,0.0
2021-09-30,50.45,$3.35,15.06
2021-06-30,78.44,$3.71,21.14
2021-03-31,57.1,$3.77,15.16
2020-12-31,83.76,$3.67,22.85
2020-09-30,35.83,$-1.46,0.0
2020-06-30,24.18,$-1.81,0.0
2020-03-31,17.51,$-1.97,0.0
2019-12-31,17.42,$-1.77,0.0
2019-09-30,15.32,$-0.26,0.0
2019-06-30,20.76,$-0.29,0.0
2019-03-31,23.22,$-0.21,0.0
2018-12-31,20.66,$0.50,40.96
2018-09-30,21.74,$-3.07,0.0
