Group 1 Automotive Price to Free Cash Flow Ratio Historical Data,Group 1 Automotive Price to Free Cash Flow Ratio Historical Data,Group 1 Automotive Price to Free Cash Flow Ratio Historical Data,Group 1 Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,365.37,,24.77
2024-06-30,296.91,$14.75,20.13
2024-03-31,291.87,$29.67,9.84
2023-12-31,303.83,$14.50,20.96
2023-09-30,267.48,$29.07,9.2
2023-06-30,256.49,$29.19,8.79
2023-03-31,224.55,$28.88,7.77
2022-12-31,178.52,$36.89,4.84
2022-09-30,141.12,$43.20,3.27
2022-06-30,167.36,$49.26,3.4
2022-03-31,165.08,$68.93,2.39
2021-12-31,191.64,$64.45,2.97
2021-09-30,184.11,$64.37,2.86
2021-06-30,151.02,$45.61,3.31
2021-03-31,153.98,$40.63,3.79
2020-12-31,127.72,$29.22,4.37
2020-09-30,85.87,$25.54,3.36
2020-06-30,64.09,$28.48,2.25
2019-12-31,96.8,$12.43,7.79
2019-09-30,89.11,$6.09,14.64
2019-06-30,78.76,$9.78,8.05
2019-03-31,62.0,$13.85,4.48
2018-12-31,50.31,$12.15,4.14
2018-09-30,61.65,$9.24,6.67
2018-06-30,59.64,$12.70,4.7
2018-03-31,61.63,$3.48,17.7
2017-12-31,66.69,$-0.42,0.0
2017-09-30,67.88,$5.26,12.91
2017-06-30,59.07,$4.61,12.82
2017-03-31,68.83,$7.67,8.97
2016-12-31,72.2,$10.75,6.72
2016-09-30,58.99,$9.48,6.22
2016-06-30,45.41,$6.54,6.95
2016-03-31,53.78,$5.44,9.89
2015-12-31,69.1,$2.69,25.65
2015-09-30,77.52,$1.68,46.2
2015-06-30,82.49,$6.68,12.34
2015-03-31,78.22,$5.10,15.34
2014-12-31,81.0,$7.74,10.47
2014-09-30,65.58,$8.78,7.47
2014-06-30,75.88,$0.06,1185.59
2014-03-31,58.97,$3.76,15.7
2013-12-31,63.62,$2.04,31.15
2013-09-30,69.41,$4.18,16.61
2013-06-30,57.36,$2.96,19.4
2013-03-31,53.42,$-1.83,0.0
2012-12-31,54.99,$-5.49,0.0
2012-09-30,53.3,$-8.91,0.0
2012-06-30,40.25,$-5.56,0.0
2012-03-31,49.42,$3.11,15.91
2011-12-31,45.46,$6.21,7.32
2011-09-30,31.11,$9.41,3.3
2011-06-30,35.92,$5.52,6.51
2011-03-31,37.23,$-1.09,0.0
2010-12-31,36.23,$-3.85,0.0
2010-09-30,25.86,$-5.79,0.0
2010-06-30,20.36,$0.33,61.65
2010-03-31,27.57,$5.23,5.27
2009-12-31,24.53,$15.86,1.55
2009-09-30,23.24,$20.90,1.11
