Calumet Price to Free Cash Flow Ratio Historical Data,Calumet Price to Free Cash Flow Ratio Historical Data,Calumet Price to Free Cash Flow Ratio Historical Data,Calumet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.87,,9.54
2024-06-30,16.05,$2.29,7.0
2024-03-31,14.86,$0.36,41.24
2023-12-31,17.87,$-0.19,0.0
2023-09-30,19.1,$0.99,19.32
2023-06-30,15.86,$-1.10,0.0
2023-03-31,17.38,$-0.69,0.0
2022-12-31,16.88,$1.53,11.05
2022-09-30,12.81,$-2.02,0.0
2022-03-31,13.61,$-0.72,0.0
2021-12-31,13.2,$-0.56,0.0
2021-09-30,7.91,$-0.95,0.0
2021-06-30,6.87,$-1.38,0.0
2021-03-31,6.1,$-0.03,0.0
2020-12-31,3.13,$0.24,12.98
2020-09-30,2.55,$0.52,4.92
2020-06-30,2.28,$1.10,2.06
2020-03-31,1.05,$1.08,0.97
2019-12-31,3.65,$1.80,2.03
2019-09-30,3.64,$2.90,1.26
2019-06-30,4.19,$2.03,2.06
2019-03-31,3.56,$1.07,3.32
2018-12-31,2.21,$0.33,6.68
2018-09-30,6.4,$-1.52,0.0
2018-06-30,7.45,$-1.13,0.0
2018-03-31,7.05,$-0.97,0.0
2017-12-31,7.7,$-1.24,0.0
2017-09-30,8.35,$-0.62,0.0
2017-06-30,4.25,$-0.78,0.0
2017-03-31,3.8,$-0.86,0.0
2016-12-31,4.0,$-1.73,0.0
2016-09-30,4.51,$-1.93,0.0
2016-06-30,4.9,$-1.29,0.0
2016-03-31,11.75,$-1.23,0.0
2015-12-31,19.13,$0.59,32.27
2015-09-30,22.75,$1.82,12.48
2015-06-30,23.27,$1.62,14.32
2015-03-31,21.44,$-0.59,0.0
2014-12-31,19.45,$-0.90,0.0
2014-09-30,23.23,$-3.68,0.0
2014-06-30,26.33,$-3.70,0.0
2014-03-31,20.89,$-1.02,0.0
2013-12-31,20.55,$-1.79,0.0
2013-09-30,21.07,$1.38,15.25
2013-06-30,27.51,$4.87,5.64
2013-03-31,27.65,$4.79,5.77
2012-12-31,22.11,$5.84,3.79
2012-09-30,22.83,$5.49,4.16
2012-06-30,16.57,$3.06,5.41
2012-03-31,18.04,$1.86,9.7
2011-12-31,13.44,$0.34,38.98
2011-09-30,10.99,$0.36,30.87
2011-06-30,13.65,$-0.20,0.0
2011-03-31,13.21,$0.01,0.0
2010-12-31,12.98,$2.81,4.62
2010-09-30,11.77,$1.32,8.95
2010-06-30,10.3,$1.75,5.89
2010-03-31,11.88,$3.02,3.93
2009-12-31,10.23,$2.41,4.24
2009-09-30,8.6,$1.65,5.2
