Simmons First National Price to Free Cash Flow Ratio Historical Data,Simmons First National Price to Free Cash Flow Ratio Historical Data,Simmons First National Price to Free Cash Flow Ratio Historical Data,Simmons First National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.3,,5.45
2024-06-30,17.41,$4.27,4.07
2024-03-31,19.02,$4.39,4.34
2023-12-31,19.17,$4.75,4.04
2023-09-30,16.22,$1.80,9.02
2023-03-31,16.36,$2.53,6.48
2022-12-31,19.97,$2.31,8.66
2022-09-30,19.98,$2.60,7.69
2022-06-30,19.33,$1.65,11.75
2022-03-31,23.64,$1.00,23.74
2021-12-31,26.49,$1.45,18.28
2023-06-30,16.31,$1.10,14.82
2021-09-30,26.31,$2.97,8.86
2021-06-30,25.95,$2.72,9.54
2021-03-31,26.08,$1.59,16.43
2020-12-31,18.88,$1.72,10.97
2020-09-30,13.75,$0.74,18.47
2020-06-30,14.69,$1.47,9.96
2020-03-31,15.63,$1.83,8.52
2019-12-31,22.54,$1.91,11.83
2019-09-30,20.82,$2.32,8.96
2019-06-30,19.32,$2.09,9.25
2019-03-31,20.2,$2.22,9.11
2018-12-31,19.79,$2.12,9.31
2018-09-30,24.01,$1.38,17.46
2018-06-30,24.26,$1.09,22.28
2018-03-31,22.97,$0.89,25.85
2017-12-31,22.94,$0.51,44.91
2017-09-30,23.16,$1.41,16.44
2016-12-31,24.52,$1.19,20.55
2016-09-30,19.61,$1.62,12.08
2016-06-30,18.07,$0.91,19.84
2016-03-31,17.54,$1.04,16.81
2015-12-31,19.88,$1.03,19.32
2017-06-30,21.06,$0.82,25.58
2015-09-30,18.47,$1.35,13.68
2015-06-30,17.9,$0.79,22.76
2015-03-31,17.35,$1.20,14.41
2014-12-31,15.43,$1.02,15.18
2014-09-30,14.54,$0.90,16.1
2017-03-31,21.85,$0.65,33.71
2014-03-31,13.92,$0.69,20.18
2013-12-31,13.79,$0.96,14.4
2013-09-30,11.47,$1.18,9.75
2013-06-30,9.55,$0.89,10.72
2013-03-31,9.2,$1.11,8.31
2012-12-31,9.13,$1.00,9.14
2012-09-30,8.7,$0.75,11.65
2012-06-30,8.24,$0.94,8.74
2012-03-31,9.07,$0.07,122.09
2011-12-31,9.48,$0.04,250.72
2014-06-30,14.79,$0.35,42.87
2011-09-30,7.51,$0.91,8.28
2011-06-30,8.8,$1.23,7.14
2011-03-31,9.22,$1.08,8.52
2010-12-31,9.64,$1.02,9.48
2010-09-30,9.5,$0.43,22.17
2010-06-30,8.76,$0.85,10.29
2010-03-31,9.13,$0.97,9.39
2009-12-31,9.14,$0.88,10.38
