"NextEra Energy Partners, LP Price to Free Cash Flow Ratio Historical Data","NextEra Energy Partners, LP Price to Free Cash Flow Ratio Historical Data","NextEra Energy Partners, LP Price to Free Cash Flow Ratio Historical Data","NextEra Energy Partners, LP Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.01,,4.72
2024-06-30,26.65,$5.51,4.84
2023-12-31,27.62,$-5.87,0.0
2023-09-30,26.16,$-12.40,0.0
2023-06-30,50.79,$-12.31,0.0
2023-03-31,51.77,$-10.40,0.0
2022-12-31,59.06,$-6.70,0.0
2024-03-31,28.18,$-3.90,0.0
2022-09-30,60.3,$-2.12,0.0
2022-06-30,61.27,$0.04,1678.51
2022-03-31,68.14,$2.38,28.64
2021-12-31,68.33,$7.29,9.38
2021-09-30,60.54,$6.95,8.71
2021-06-30,60.84,$6.22,9.79
2021-03-31,57.54,$4.90,11.75
2020-12-31,52.56,$4.84,10.86
2020-09-30,46.57,$3.99,11.68
2020-06-30,39.46,$3.92,10.07
2020-03-31,32.72,$4.74,6.91
2019-12-31,39.69,$4.30,9.22
2019-09-30,39.43,$4.60,8.57
2019-06-30,35.63,$4.35,8.2
2019-03-31,34.08,$4.14,8.23
2018-12-31,31.1,$4.52,6.88
2018-09-30,34.7,$5.56,6.25
2018-06-30,33.08,$6.10,5.42
2018-03-31,28.07,$12.03,2.33
2017-12-31,29.98,$7.39,4.06
2017-09-30,27.73,$7.74,3.58
2017-06-30,25.23,$3.17,7.96
2016-12-31,17.04,$-10.18,0.0
2016-09-30,18.43,$2.31,7.97
2016-06-30,19.8,$-4.83,0.0
2016-03-31,17.52,$-2.17,0.0
2015-12-31,19.03,$7.58,2.51
2017-03-31,22.35,$-3.29,0.0
2015-09-30,13.76,$-24.41,0.0
2015-06-30,24.82,$-26.60,0.0
2015-03-31,27.31,$-30.80,0.0
