Trupanion Price to Free Cash Flow Ratio Historical Data,Trupanion Price to Free Cash Flow Ratio Historical Data,Trupanion Price to Free Cash Flow Ratio Historical Data,Trupanion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.48,,96.34
2024-06-30,29.4,$0.58,51.05
2024-03-31,27.61,$0.29,96.37
2023-12-31,30.51,$0.01,0.0
2023-09-30,28.2,$-0.43,0.0
2023-06-30,19.68,$-0.75,0.0
2023-03-31,42.89,$-0.73,0.0
2022-12-31,47.53,$-0.62,0.0
2022-09-30,59.43,$-0.47,0.0
2022-06-30,60.26,$-0.23,0.0
2022-03-31,89.12,$-0.18,0.0
2021-12-31,132.03,$-0.12,0.0
2021-09-30,77.67,$-0.13,0.0
2021-06-30,115.1,$0.03,4110.71
2021-03-31,76.21,$0.24,323.06
2020-12-31,119.71,$0.39,304.61
2020-09-30,78.9,$0.46,171.78
2020-06-30,42.69,$0.29,148.49
2020-03-31,26.03,$0.26,99.24
2019-12-31,37.46,$0.31,120.33
2019-09-30,25.42,$0.12,205.83
2019-06-30,36.13,$-1.21,0.0
2019-03-31,32.74,$-1.33,0.0
2018-12-31,25.46,$-1.38,0.0
2018-09-30,35.73,$-1.20,0.0
2018-06-30,38.6,$0.12,315.36
2018-03-31,29.89,$0.21,142.95
2017-12-31,29.27,$0.22,132.5
2017-09-30,26.41,$0.24,109.72
2017-06-30,22.38,$0.21,106.32
2017-03-31,14.22,$0.22,63.26
2016-12-31,15.52,$0.11,144.51
2016-09-30,16.9,$-0.06,0.0
2016-06-30,13.25,$-0.17,0.0
2016-03-31,9.85,$-0.39,0.0
2015-12-31,9.76,$-0.55,0.0
2015-09-30,7.55,$-1.10,0.0
2015-06-30,8.24,$-1.69,0.0
