Neogen Price to Free Cash Flow Ratio Historical Data,Neogen Price to Free Cash Flow Ratio Historical Data,Neogen Price to Free Cash Flow Ratio Historical Data,Neogen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.46,,0.0
2024-08-31,17.25,$-0.56,0.0
2024-05-31,13.15,$-0.35,0.0
2024-02-29,17.19,$-0.08,0.0
2023-11-30,16.97,$0.06,266.41
2023-08-31,23.12,$0.09,256.89
2023-05-31,17.49,$-0.13,0.0
2023-02-28,17.69,$-0.34,0.0
2022-11-30,16.56,$-0.19,0.0
2022-08-31,20.9,$-0.05,0.0
2022-05-31,26.46,$0.40,65.54
2022-02-28,35.7,$0.47,76.22
2021-11-30,40.13,$0.50,80.61
2021-08-31,43.78,$0.51,85.13
2021-05-31,46.16,$0.51,90.93
2021-02-28,40.96,$0.54,75.75
2020-11-30,37.11,$0.66,55.86
2020-08-31,38.1,$0.62,61.74
2020-05-31,35.61,$0.58,60.89
2020-02-29,30.38,$0.59,51.75
2019-11-30,33.29,$0.48,68.66
2019-08-31,35.26,$0.50,70.72
2019-05-31,28.18,$0.47,60.06
2019-02-28,30.98,$0.47,66.14
2018-11-30,32.43,$0.54,59.58
2018-08-31,46.72,$0.46,102.01
2018-05-31,37.86,$0.46,81.94
2018-02-28,29.14,$0.42,68.84
2017-11-30,31.46,$0.38,82.43
2017-08-31,25.84,$0.42,61.61
2017-05-31,23.73,$0.45,53.14
2017-02-28,24.32,$0.36,68.4
2016-11-30,23.73,$0.31,76.97
2016-08-31,22.15,$0.34,65.74
2016-05-31,18.51,$0.21,88.58
2016-02-29,18.47,$0.24,76.03
2015-11-30,22.15,$0.28,77.93
2015-08-31,19.37,$0.30,64.53
2015-05-31,17.53,$0.34,51.22
2015-02-28,19.18,$0.27,71.33
2014-11-30,16.62,$0.23,73.36
2014-08-31,15.79,$0.15,107.84
2014-05-31,14.17,$0.10,139.07
2014-02-28,16.25,$0.15,109.69
2013-11-30,19.08,$0.16,117.68
2013-08-31,13.53,$0.19,70.96
2013-05-31,13.62,$0.18,75.03
2013-02-28,11.71,$0.21,55.79
2012-11-30,11.39,$0.21,53.44
2012-08-31,9.76,$0.19,52.59
2012-05-31,9.74,$0.10,94.79
2012-02-29,8.68,$0.05,166.83
2011-11-30,8.81,$0.02,386.29
2011-08-31,8.68,$0.06,149.66
2011-05-31,11.21,$0.22,50.68
2011-02-28,9.35,$0.23,40.31
2010-11-30,9.29,$0.25,36.88
2010-08-31,7.31,$0.26,27.96
2010-05-31,6.43,$0.24,26.32
2010-02-28,6.06,$0.25,24.5
2009-11-30,5.42,$0.25,21.47
