Landstar System Price to Free Cash Flow Ratio Historical Data,Landstar System Price to Free Cash Flow Ratio Historical Data,Landstar System Price to Free Cash Flow Ratio Historical Data,Landstar System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,187.03,,20.82
2024-06-30,184.12,$8.98,20.5
2024-03-31,192.04,$9.16,20.97
2023-12-31,190.58,$10.47,18.19
2023-09-30,173.8,$13.13,13.23
2023-06-30,188.81,$16.00,11.8
2023-03-31,175.49,$17.71,9.91
2022-12-31,157.28,$16.43,9.57
2022-09-30,139.13,$12.96,10.73
2022-06-30,139.87,$8.87,15.76
2022-03-31,144.85,$7.44,19.47
2021-12-31,169.64,$6.71,25.29
2021-09-30,149.34,$5.77,25.89
2021-06-30,149.29,$3.42,43.69
2021-03-31,155.76,$4.16,37.44
2020-12-31,125.16,$4.87,25.72
2020-09-30,116.44,$5.40,21.58
2020-06-30,104.04,$7.72,13.48
2020-03-31,88.64,$6.82,13.0
2019-12-31,103.3,$7.35,14.05
2019-09-30,101.96,$8.50,12.0
2019-06-30,97.64,$8.83,11.05
2019-03-31,98.91,$8.36,11.83
2018-12-31,86.37,$7.07,12.21
2018-09-30,109.97,$4.88,22.53
2018-06-30,98.29,$3.92,25.08
2018-03-31,98.56,$3.31,29.78
2017-12-31,92.16,$3.03,30.4
2017-09-30,88.13,$3.39,26.0
2017-06-30,75.61,$3.63,20.81
2017-03-31,75.58,$3.88,19.5
2016-12-31,75.19,$4.21,17.86
2016-09-30,59.94,$5.36,11.19
2016-06-30,60.37,$5.42,11.14
2016-03-31,56.74,$5.53,10.26
2015-12-31,51.44,$4.86,10.58
2015-09-30,55.59,$3.98,13.96
2015-06-30,58.51,$3.68,15.88
2015-03-31,57.94,$-0.13,0.0
2014-12-31,62.42,$-0.63,0.0
2014-09-30,62.07,$-0.27,0.0
2014-06-30,54.97,$-0.81,0.0
2013-12-31,49.25,$3.38,14.59
2013-09-30,47.69,$5.19,9.2
2013-06-30,43.88,$4.48,9.8
2013-03-31,48.64,$4.87,9.99
2012-12-31,44.69,$4.54,9.84
2014-03-31,50.81,$2.60,19.56
2012-09-30,39.82,$2.97,13.43
2012-06-30,43.51,$3.21,13.57
2012-03-31,48.51,$2.53,19.19
2011-12-31,40.23,$2.42,16.64
2011-09-30,33.17,$2.55,13.02
2011-06-30,38.92,$2.08,18.7
2011-03-31,38.21,$1.95,19.6
2010-12-31,34.21,$1.67,20.45
2010-09-30,32.22,$1.21,26.74
2010-06-30,32.49,$0.80,40.87
2010-03-31,34.95,$1.27,27.41
2009-12-31,32.24,$2.79,11.55
