Capital Clean Energy Carriers Price to Free Cash Flow Ratio Historical Data,Capital Clean Energy Carriers Price to Free Cash Flow Ratio Historical Data,Capital Clean Energy Carriers Price to Free Cash Flow Ratio Historical Data,Capital Clean Energy Carriers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.5,,0.0
2024-06-30,16.88,$-7.39,0.0
2024-03-31,17.09,$2.87,5.96
2023-12-31,13.83,$-12.17,0.0
2023-09-30,13.5,$-21.50,0.0
2023-06-30,13.17,$-13.84,0.0
2023-03-31,12.65,$-8.05,0.0
2022-12-31,12.73,$9.44,1.35
2022-09-30,12.36,$6.27,1.97
2022-06-30,13.83,$0.85,16.3
2022-03-31,16.49,$-0.44,0.0
2021-12-31,14.44,$-3.48,0.0
2021-09-30,11.57,$4.90,2.36
2021-06-30,10.77,$1.66,6.48
2021-03-31,9.74,$1.36,7.17
2020-12-31,7.03,$-5.75,0.0
2020-09-30,5.64,$-6.01,0.0
2020-06-30,6.79,$-5.56,0.0
2020-03-31,5.9,$-6.18,0.0
2019-12-31,10.53,$2.13,4.94
2019-09-30,8.16,$2.57,3.17
2019-06-30,7.79,$2.65,2.93
2019-03-31,7.55,$4.97,1.52
2018-12-31,10.34,$5.39,1.92
2018-09-30,13.37,$9.52,1.4
2018-06-30,14.34,$10.40,1.38
2018-03-31,14.25,$9.01,1.58
2017-12-31,14.98,$11.79,1.27
2017-03-31,14.86,$8.33,1.78
2016-12-31,12.95,$3.76,3.45
2016-09-30,12.93,$4.64,2.78
2016-06-30,11.57,$-1.14,0.0
2016-03-31,11.93,$-6.94,0.0
2015-12-31,19.61,$-4.49,0.0
2015-09-30,21.15,$-1.70,0.0
2015-06-30,25.95,$0.61,42.87
2015-03-31,30.74,$6.91,4.45
2014-12-31,25.25,$9.38,2.69
2014-09-30,30.68,$24.40,1.26
2014-06-30,34.38,$25.18,1.37
2014-03-31,32.26,$10.94,2.95
2017-09-30,15.24,$16.62,0.92
2013-12-31,30.12,$-14.47,0.0
2013-09-30,25.21,$-8.33,0.0
2013-06-30,25.39,$1.35,18.8
2013-03-31,22.07,$-4.26,0.0
2012-12-31,17.05,$8.67,1.97
2017-06-30,14.48,$3.47,4.17
2012-09-30,20.56,$6.41,3.21
2012-06-30,18.46,$6.99,2.64
2012-03-31,19.24,$2.95,6.52
2011-12-31,14.12,$3.03,4.66
2011-09-30,14.23,$6.19,2.3
2011-06-30,19.76,$-2.88,0.0
2011-03-31,22.42,$-3.14,0.0
2010-12-31,19.97,$-11.07,0.0
2010-09-30,16.61,$-10.45,0.0
2010-06-30,15.74,$-0.21,0.0
2010-03-31,16.23,$1.67,9.72
2009-12-31,16.73,$12.30,1.36
