CyberArk Software Price to Free Cash Flow Ratio Historical Data,CyberArk Software Price to Free Cash Flow Ratio Historical Data,CyberArk Software Price to Free Cash Flow Ratio Historical Data,CyberArk Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,295.65,,74.61
2024-06-30,273.42,$3.96,69.0
2024-03-31,265.63,$2.53,104.96
2023-12-31,219.05,$1.23,178.03
2023-09-30,163.77,$0.54,305.2
2023-06-30,156.33,$0.55,285.17
2023-03-31,147.98,$0.44,334.19
2022-12-31,129.65,$0.92,141.48
2022-09-30,149.94,$0.98,153.31
2022-06-30,127.96,$0.68,188.07
2022-03-31,168.75,$1.43,117.78
2021-12-31,173.28,$1.66,104.39
2021-09-30,157.82,$2.14,73.75
2021-06-30,130.27,$2.41,53.99
2021-03-31,129.34,$2.55,50.71
2020-12-31,161.59,$2.58,62.68
2020-09-30,103.42,$2.95,35.06
2020-06-30,99.27,$3.12,31.79
2020-03-31,85.56,$3.15,27.14
2019-12-31,116.58,$3.46,33.7
2019-09-30,99.82,$3.22,31.0
2019-06-30,127.84,$3.51,36.41
2019-03-31,119.05,$3.57,33.32
2018-12-31,74.14,$3.28,22.62
2018-09-30,79.84,$3.11,25.69
2018-06-30,62.96,$2.69,23.37
2018-03-31,51.02,$2.48,20.61
2017-12-31,41.39,$2.05,20.24
2017-09-30,41.0,$1.68,24.41
2017-06-30,49.95,$1.71,29.25
2017-03-31,50.87,$1.46,34.75
2016-12-31,45.5,$1.49,30.47
2016-09-30,49.57,$1.56,31.69
2016-06-30,48.59,$1.75,27.73
2016-03-31,42.63,$2.04,20.95
2015-12-31,45.14,$1.18,38.18
2015-06-30,62.82,$-0.11,0.0
2015-03-31,55.57,$0.39,140.9
