Corpay Price to Free Cash Flow Ratio Historical Data,Corpay Price to Free Cash Flow Ratio Historical Data,Corpay Price to Free Cash Flow Ratio Historical Data,Corpay Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,315.55,,13.23
2024-06-30,266.41,$23.85,11.17
2024-03-31,308.54,$19.09,16.16
2023-12-31,282.61,$26.18,10.8
2023-09-30,255.34,$14.01,18.22
2023-06-30,251.08,$21.77,11.53
2023-03-31,210.85,$20.95,10.06
2022-12-31,183.68,$7.85,23.4
2022-09-30,176.17,$11.02,15.98
2022-06-30,210.11,$8.95,23.46
2022-03-31,249.06,$10.42,23.9
2021-12-31,223.84,$12.91,17.33
2021-09-30,261.27,$8.91,29.33
2021-06-30,256.06,$10.88,23.54
2021-03-31,268.63,$12.20,22.02
2020-12-31,272.83,$16.08,16.97
2020-09-30,238.1,$17.31,13.76
2020-06-30,251.53,$15.16,16.59
2020-03-31,186.54,$13.45,13.87
2019-12-31,287.72,$12.07,23.84
2019-09-30,286.78,$11.70,24.51
2019-06-30,280.85,$12.68,22.15
2019-03-31,246.59,$12.09,20.39
2018-12-31,185.72,$11.33,16.39
2018-09-30,227.84,$10.08,22.61
2018-03-31,202.5,$7.89,25.68
2017-12-31,192.43,$6.52,29.53
2017-09-30,154.77,$8.33,18.57
2017-06-30,144.21,$4.87,29.58
2017-03-31,151.43,$5.47,27.67
2016-12-31,141.52,$5.65,25.04
2018-06-30,210.65,$2.59,81.2
2016-09-30,173.73,$6.12,28.4
2016-06-30,143.13,$7.60,18.83
2016-03-31,148.75,$8.11,18.35
2015-12-31,142.93,$7.57,18.88
2015-09-30,137.62,$8.47,16.26
2015-06-30,156.06,$6.92,22.56
2015-03-31,150.92,$6.78,22.27
2014-12-31,148.71,$6.68,22.25
2014-09-30,142.12,$5.40,26.33
2014-06-30,131.8,$5.04,26.17
2014-03-31,115.1,$4.95,23.26
2013-12-31,117.17,$4.19,27.95
2013-09-30,110.16,$3.40,32.4
2013-06-30,81.3,$2.74,29.63
2013-03-31,76.67,$2.52,30.46
2012-12-31,53.65,$1.36,39.53
2012-09-30,44.8,$2.67,16.81
2012-06-30,35.04,$2.70,13.0
2012-03-31,38.77,$1.94,20.0
2011-12-31,29.87,$3.18,9.39
2011-09-30,26.26,$2.33,11.27
