MeridianLink Price to Free Cash Flow Ratio Historical Data,MeridianLink Price to Free Cash Flow Ratio Historical Data,MeridianLink Price to Free Cash Flow Ratio Historical Data,MeridianLink Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.38,,24.47
2024-06-30,21.36,$0.87,24.45
2024-03-31,18.7,$0.75,25.04
2023-12-31,24.77,$0.72,34.45
2023-09-30,17.06,$0.64,26.61
2023-06-30,20.8,$0.63,33.04
2023-03-31,161.47,$0.71,226.24
2022-12-31,128.15,$0.79,161.9
2022-09-30,151.95,$1.16,131.09
2022-06-30,155.87,$1.84,84.62
