Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,110.36,,21.78
2024-06-30,88.89,$5.07,17.55
2024-03-31,84.97,$5.35,15.89
2023-12-31,81.13,$5.33,15.23
2023-09-30,75.09,$5.55,13.53
2023-06-30,67.9,$5.54,12.25
2023-03-31,62.36,$5.60,11.13
2022-12-31,69.12,$6.08,11.36
2022-09-30,53.69,$5.75,9.35
2022-06-30,52.52,$6.80,7.73
2022-03-31,60.69,$7.42,8.18
2021-12-31,54.7,$7.46,7.33
2021-09-30,48.55,$8.10,6.0
2021-06-30,49.69,$8.12,6.12
2021-03-31,47.12,$8.35,5.64
2020-12-31,40.65,$8.32,4.89
2020-09-30,33.01,$8.02,4.11
2020-06-30,32.48,$7.77,4.18
2020-03-31,30.61,$7.21,4.25
2019-12-31,47.03,$7.31,6.44
2019-09-30,46.29,$7.46,6.2
2019-06-30,48.24,$9.33,5.17
2019-03-31,43.78,$9.81,4.46
2018-12-31,39.67,$9.66,4.11
2018-09-30,40.75,$9.75,4.18
2018-03-31,37.46,$7.09,5.29
2017-12-31,37.35,$7.68,4.86
2017-09-30,34.45,$9.41,3.66
2017-06-30,32.7,$6.18,5.29
2017-03-31,30.31,$5.96,5.08
2016-12-31,28.96,$5.65,5.12
2018-06-30,37.04,$3.61,10.26
2016-09-30,29.72,$7.30,4.07
2016-06-30,29.68,$7.69,3.86
2016-03-31,25.81,$7.74,3.33
2015-12-31,24.31,$7.82,3.11
2015-09-30,23.44,$7.71,3.04
2015-06-30,24.93,$7.35,3.39
2015-03-31,25.5,$7.11,3.59
2014-12-31,24.19,$7.21,3.35
2014-09-30,22.91,$8.66,2.64
2014-06-30,24.34,$8.63,2.82
2014-03-31,24.5,$8.96,2.73
2013-12-31,25.81,$11.28,2.29
2013-09-30,23.82,$11.40,2.09
2013-06-30,22.2,$14.29,1.55
2013-03-31,19.75,$16.22,1.22
2012-12-31,20.02,$15.93,1.26
2012-09-30,17.92,$15.74,1.14
2012-06-30,15.82,$14.62,1.08
2012-03-31,16.96,$13.05,1.3
2011-12-31,15.84,$11.55,1.37
2011-09-30,12.7,$10.25,1.24
2011-06-30,16.84,$8.85,1.9
2011-03-31,18.93,$8.33,2.27
2010-12-31,20.13,$7.39,2.73
2010-09-30,18.35,$7.02,2.61
2010-06-30,15.05,$6.70,2.25
2010-03-31,19.03,$6.15,3.09
2009-12-31,16.12,$6.57,2.45
