NNN REIT Price to Free Cash Flow Ratio Historical Data,NNN REIT Price to Free Cash Flow Ratio Historical Data,NNN REIT Price to Free Cash Flow Ratio Historical Data,NNN REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.75,,95.89
2024-06-30,42.06,$0.51,82.72
2024-03-31,41.62,$-0.07,0.0
2023-12-31,41.39,$-0.37,0.0
2023-09-30,33.41,$-0.47,0.0
2023-06-30,39.92,$-0.75,0.0
2023-03-31,40.67,$-1.69,0.0
2022-12-31,41.66,$-1.52,0.0
2022-09-30,35.82,$-0.99,0.0
2022-06-30,38.2,$-0.72,0.0
2021-12-31,41.7,$0.79,52.77
2021-09-30,37.04,$2.33,15.9
2021-06-30,39.77,$2.44,16.3
2021-03-31,36.98,$3.09,11.97
2020-12-31,33.89,$2.96,11.47
2022-03-31,39.46,$1.60,24.72
2020-09-30,28.14,$0.33,84.11
2020-06-30,28.51,$0.24,120.34
2020-03-31,25.46,$-1.38,0.0
2019-12-31,42.03,$-1.40,0.0
2019-09-30,43.82,$-0.26,0.0
2018-12-31,36.62,$-0.87,0.0
2018-09-30,33.48,$-0.38,0.0
2018-06-30,32.47,$-0.88,0.0
2018-03-31,28.64,$-0.28,0.0
2017-12-31,31.09,$-1.76,0.0
2019-06-30,40.79,$-0.52,0.0
2017-09-30,29.68,$-1.47,0.0
2017-06-30,27.53,$-3.74,0.0
2017-03-31,30.4,$-2.14,0.0
2016-12-31,30.48,$-4.28,0.0
2016-09-30,34.71,$-3.20,0.0
2019-03-31,42.21,$-1.91,0.0
2016-06-30,35.0,$-3.13,0.0
2016-03-31,30.96,$-1.83,0.0
2015-12-31,26.56,$-2.26,0.0
2015-09-30,23.79,$-1.61,0.0
2015-06-30,22.69,$-2.52,0.0
2015-03-31,26.28,$-2.24,0.0
2014-12-31,25.01,$-1.98,0.0
2014-09-30,21.71,$-1.99,0.0
2014-06-30,23.09,$0.20,117.65
2014-03-31,21.06,$-2.69,0.0
2013-12-31,18.39,$-2.52,0.0
2013-09-30,19.07,$-4.05,0.0
2013-06-30,20.38,$-4.67,0.0
2013-03-31,21.22,$-1.97,0.0
2012-12-31,18.08,$-3.44,0.0
2012-09-30,17.46,$-5.04,0.0
2012-06-30,15.98,$-7.65,0.0
2012-03-31,15.14,$-7.58,0.0
2011-12-31,14.49,$-6.40,0.0
2011-09-30,14.55,$-4.42,0.0
2011-06-30,13.07,$-2.19,0.0
2011-03-31,13.73,$-0.99,0.0
2010-12-31,13.72,$-0.39,0.0
2010-09-30,12.82,$1.02,12.63
2010-06-30,10.77,$2.13,5.05
2010-03-31,11.29,$1.51,7.5
2009-12-31,10.31,$1.50,6.89
