Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data,Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data,Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data,Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.27,,0.0
2024-06-30,26.29,$-0.66,0.0
2024-03-31,28.77,$-0.59,0.0
2023-12-31,28.25,$0.01,0.0
2023-09-30,22.47,$-0.48,0.0
2023-06-30,17.97,$0.28,63.11
2022-12-31,20.29,$-0.52,0.0
2022-09-30,22.07,$0.05,471.67
2022-06-30,26.74,$-0.17,0.0
2022-03-31,41.77,$-1.23,0.0
2021-12-31,38.08,$-0.62,0.0
2023-03-31,15.22,$-0.94,0.0
2021-09-30,37.77,$-0.23,0.0
2021-06-30,41.45,$-0.44,0.0
2021-03-31,39.85,$-0.52,0.0
2020-12-31,32.35,$-1.74,0.0
2020-09-30,28.71,$-1.83,0.0
2020-06-30,32.06,$-1.26,0.0
2020-03-31,29.88,$-1.32,0.0
2019-12-31,54.34,$-1.15,0.0
2019-09-30,50.03,$-0.74,0.0
2019-06-30,49.84,$0.47,105.82
2019-03-31,52.44,$-0.58,0.0
2018-12-31,47.76,$0.78,60.96
2018-09-30,55.68,$0.54,102.61
2018-06-30,55.89,$1.00,56.14
2018-03-31,50.43,$1.16,43.49
2017-12-31,58.07,$1.22,47.67
2017-09-30,56.64,$1.56,36.42
2017-06-30,55.67,$0.61,91.77
2017-03-31,59.03,$0.36,162.76
2016-12-31,61.02,$0.01,0.0
2016-09-30,58.74,$-0.62,0.0
2016-06-30,57.77,$-0.42,0.0
2016-03-31,54.13,$-0.47,0.0
2015-12-31,56.88,$-0.55,0.0
2015-09-30,51.12,$-0.42,0.0
2015-06-30,53.32,$0.16,326.5
2015-03-31,62.52,$1.05,59.59
2014-12-31,59.26,$1.65,35.85
2014-09-30,49.99,$0.68,73.56
2014-06-30,53.0,$1.02,51.78
2014-03-31,48.61,$0.82,59.45
2013-12-31,43.44,$1.66,26.22
2013-09-30,40.88,$3.56,11.49
2013-06-30,40.04,$3.13,12.78
2013-03-31,40.18,$2.93,13.69
2012-12-31,38.22,$2.48,15.42
2012-09-30,38.07,$1.64,23.21
2012-06-30,39.21,$2.29,17.14
2012-03-31,39.08,$2.84,13.76
2011-12-31,35.46,$2.39,14.86
2011-09-30,34.2,$2.50,13.69
2011-06-30,42.42,$1.15,36.75
2011-03-31,39.62,$2.16,18.36
2010-12-31,37.52,$2.55,14.71
2010-09-30,38.3,$2.17,17.65
2010-06-30,32.48,$1.71,18.98
2010-03-31,33.51,$0.93,35.94
2009-12-31,30.73,$-0.28,0.0
