Radian Group Price to Free Cash Flow Ratio Historical Data,Radian Group Price to Free Cash Flow Ratio Historical Data,Radian Group Price to Free Cash Flow Ratio Historical Data,Radian Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.84,,33.77
2024-06-30,30.89,$1.06,29.11
2024-03-31,33.24,$2.83,11.76
2023-12-31,28.11,$3.20,8.77
2023-09-30,24.5,$2.09,11.7
2023-06-30,24.46,$2.32,10.54
2023-03-31,21.2,$2.24,9.48
2022-12-31,18.1,$2.17,8.34
2022-09-30,18.12,$2.40,7.54
2022-06-30,18.3,$2.44,7.51
2022-03-31,20.49,$2.72,7.54
2021-12-31,19.32,$2.86,6.75
2021-09-30,20.64,$2.87,7.2
2021-06-30,20.1,$3.13,6.42
2021-03-31,20.87,$3.29,6.35
2020-12-31,18.07,$3.26,5.54
2020-09-30,12.95,$3.33,3.88
2020-06-30,13.63,$3.18,4.28
2020-03-31,11.29,$2.95,3.83
2019-12-31,21.82,$3.17,6.88
2019-09-30,19.81,$3.15,6.29
2019-06-30,19.81,$3.17,6.25
2019-03-31,17.98,$3.43,5.24
2018-12-31,14.18,$2.98,4.76
2018-09-30,17.92,$2.79,6.42
2018-06-30,14.06,$1.93,7.27
2018-03-31,16.5,$1.68,9.83
2017-12-31,17.86,$1.51,11.86
2017-09-30,16.19,$1.24,13.02
2017-06-30,14.16,$1.81,7.81
2017-03-31,15.55,$1.72,9.05
2016-12-31,15.57,$1.51,10.31
2016-09-30,11.73,$1.20,9.78
2016-06-30,9.02,$0.86,10.51
2016-03-31,10.73,$0.09,114.05
2015-12-31,11.59,$-0.06,0.0
2015-09-30,13.76,$0.17,80.21
2015-06-30,16.23,$0.14,119.94
2015-03-31,14.52,$-0.09,0.0
2014-12-31,14.46,$-0.70,0.0
2014-09-30,12.33,$-1.69,0.0
2014-06-30,12.8,$-3.49,0.0
2014-03-31,12.99,$-3.51,0.0
2013-12-31,12.2,$-4.03,0.0
2013-09-30,12.04,$-3.90,0.0
2013-06-30,10.04,$-2.83,0.0
2013-03-31,9.25,$-3.85,0.0
2012-12-31,5.28,$-3.87,0.0
2012-09-30,3.75,$-4.27,0.0
2012-06-30,2.84,$-4.87,0.0
2012-03-31,3.75,$-5.94,0.0
2011-12-31,2.01,$-6.73,0.0
2011-09-30,1.88,$-5.18,0.0
2011-06-30,3.63,$-6.94,0.0
2011-03-31,5.85,$-5.00,0.0
2010-12-31,6.92,$-6.53,0.0
2010-09-30,6.71,$14.63,0.46
2010-06-30,6.21,$15.54,0.4
2010-03-31,13.41,$-3.53,0.0
2009-12-31,6.26,$0.28,21.99
