Korn/Ferry Price to Free Cash Flow Ratio Historical Data,Korn/Ferry Price to Free Cash Flow Ratio Historical Data,Korn/Ferry Price to Free Cash Flow Ratio Historical Data,Korn/Ferry Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,71.14,,12.65
2024-07-31,73.36,$5.62,13.05
2024-04-30,60.09,$4.45,13.51
2024-01-31,57.77,$4.11,14.07
2023-10-31,44.57,$4.50,9.9
2023-07-31,51.38,$4.36,11.78
2023-04-30,46.67,$5.27,8.85
2023-01-31,52.31,$5.69,9.19
2022-10-31,53.7,$7.01,7.66
2022-07-31,63.09,$6.88,9.17
2022-04-30,59.02,$8.47,6.97
2022-01-31,63.64,$7.06,9.01
2021-10-31,73.9,$4.99,14.82
2021-07-31,65.69,$3.82,17.2
2021-04-30,64.77,$4.13,15.7
2021-01-31,43.43,$3.72,11.67
2020-10-31,28.69,$3.89,7.38
2020-07-31,26.61,$3.79,7.02
2020-04-30,27.2,$3.56,7.64
2020-01-31,38.51,$3.06,12.57
2019-10-31,34.4,$2.45,14.02
2019-07-31,36.73,$3.04,12.09
2019-04-30,43.86,$3.78,11.6
2019-01-31,42.44,$3.79,11.2
2018-10-31,41.9,$3.51,11.92
2018-07-31,61.13,$2.90,21.07
2018-04-30,49.45,$3.15,15.7
2018-01-31,41.13,$1.98,20.72
2017-10-31,38.52,$1.73,22.24
2017-07-31,30.72,$-1.94,0.0
2017-04-30,29.67,$1.63,18.16
2017-01-31,26.52,$1.18,22.51
2016-10-31,18.55,$-0.21,0.0
2016-04-30,24.47,$0.81,30.23
2016-01-31,27.68,$3.73,7.42
2015-10-31,32.58,$0.05,696.12
2015-07-31,29.9,$1.13,26.55
2015-04-30,28.08,$3.72,7.56
2016-07-31,20.84,$-2.62,0.0
2015-01-31,25.3,$1.78,14.19
2014-10-31,24.8,$2.28,10.9
2014-07-31,26.12,$0.10,249.01
2014-04-30,25.79,$3.31,7.79
2014-01-31,20.83,$2.38,8.75
2013-07-31,17.34,$1.15,15.11
2013-04-30,14.69,$1.02,14.48
2013-01-31,15.25,$1.83,8.33
2012-10-31,11.89,$0.27,44.8
2012-07-31,11.68,$0.41,28.41
2012-04-30,14.34,$2.97,4.82
2013-10-31,21.13,$-0.96,0.0
2012-01-31,14.59,$1.17,12.46
2011-10-31,14.18,$1.08,13.17
2011-07-31,19.13,$0.75,25.63
2011-04-30,18.39,$1.46,12.56
2011-01-31,20.78,$0.89,23.28
2010-10-31,15.65,$0.20,79.54
2010-07-31,12.47,$-0.44,0.0
2010-04-30,14.39,$-0.84,0.0
2010-01-31,13.14,$-0.80,0.0
2009-10-31,14.17,$-1.78,0.0
