International Bancshares Price to Free Cash Flow Ratio Historical Data,International Bancshares Price to Free Cash Flow Ratio Historical Data,International Bancshares Price to Free Cash Flow Ratio Historical Data,International Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,65.72,,8.83
2024-06-30,56.56,$7.44,7.6
2024-03-31,55.51,$7.03,7.89
2023-12-31,53.04,$7.19,7.38
2023-09-30,42.32,$6.66,6.36
2023-06-30,42.58,$6.92,6.16
2023-03-31,41.25,$7.00,5.89
2022-12-31,43.48,$6.09,7.15
2022-09-30,40.39,$5.77,7.0
2022-06-30,37.59,$4.72,7.96
2022-03-31,39.59,$4.44,8.92
2021-12-31,39.2,$4.61,8.5
2021-09-30,38.5,$4.84,7.95
2021-06-30,39.13,$5.16,7.58
2021-03-31,42.3,$5.34,7.93
2020-12-31,33.65,$4.69,7.18
2020-09-30,23.43,$4.74,4.94
2020-06-30,28.24,$4.70,6.01
2020-03-31,23.71,$4.19,5.65
2019-12-31,37.22,$4.32,8.61
2019-09-30,33.38,$3.61,9.24
2019-06-30,32.14,$3.52,9.12
2019-03-31,32.41,$3.41,9.5
2018-12-31,28.93,$3.20,9.05
2018-09-30,37.49,$2.74,13.68
2018-06-30,35.66,$2.70,13.22
2018-03-31,32.41,$2.59,12.5
2017-12-31,32.8,$2.77,11.86
2017-09-30,33.13,$2.85,11.63
2017-06-30,28.72,$2.54,11.32
2017-03-31,29.01,$2.52,11.51
2016-12-31,33.13,$2.53,13.07
2016-09-30,24.18,$2.35,10.28
2016-06-30,20.97,$2.79,7.52
2016-03-31,19.82,$2.86,6.93
2015-12-31,20.41,$2.83,7.22
2015-09-30,19.88,$3.18,6.26
2015-06-30,21.09,$2.85,7.41
2015-03-31,20.43,$2.41,8.49
2014-12-31,20.6,$2.25,9.14
2014-09-30,19.14,$2.20,8.71
2014-06-30,20.73,$2.15,9.62
2014-03-31,19.26,$2.44,7.88
2013-12-31,20.03,$2.40,8.34
2013-09-30,16.43,$2.04,8.07
2013-06-30,16.98,$1.52,11.14
2013-03-31,15.64,$1.51,10.33
2012-12-31,13.47,$1.57,8.59
2012-09-30,14.2,$1.13,12.55
2012-06-30,14.39,$1.80,8.01
2012-03-31,15.59,$2.32,6.71
2011-12-31,13.39,$2.40,5.58
2011-09-30,9.61,$2.86,3.36
2011-06-30,12.04,$2.90,4.16
2011-03-31,13.2,$2.19,6.03
2010-12-31,14.27,$2.41,5.91
2010-09-30,12.03,$3.38,3.56
2010-06-30,11.75,$3.15,3.73
2010-03-31,16.21,$3.02,5.36
2009-12-31,13.22,$1.30,10.15
