Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,188.94,,7.98
2024-06-30,158.89,$23.69,6.71
2024-03-31,172.17,$19.38,8.89
2023-12-31,138.48,$15.19,9.12
2023-09-30,109.5,$14.76,7.42
2023-06-30,106.3,$17.53,6.07
2023-03-31,107.15,$19.01,5.64
2022-12-31,130.23,$18.10,7.19
2022-09-30,118.84,$16.80,7.07
2022-06-30,120.1,$13.84,8.68
2022-03-31,130.44,$12.69,10.28
2021-12-31,110.04,$15.95,6.9
2021-09-30,118.23,$17.18,6.88
2021-06-30,120.41,$16.84,7.15
2021-03-31,105.44,$17.77,5.93
2020-12-31,100.15,$16.43,6.1
2020-09-30,85.32,$15.80,5.4
2020-06-30,87.41,$17.02,5.13
2020-03-31,82.21,$15.19,5.41
2019-12-31,100.27,$14.08,7.12
2019-09-30,96.48,$14.38,6.71
2019-06-30,89.83,$13.94,6.44
2019-03-31,82.77,$14.18,5.84
2018-12-31,72.23,$13.87,5.21
2018-09-30,86.28,$13.05,6.61
2018-06-30,79.42,$13.19,6.02
2018-03-31,82.09,$10.37,7.91
2017-12-31,90.22,$10.92,8.26
2017-09-30,78.9,$11.13,7.09
2017-06-30,75.62,$9.74,7.77
2017-03-31,69.38,$3.72,18.66
2016-12-31,62.82,$3.62,17.36
2016-09-30,58.36,$3.95,14.76
2016-06-30,58.73,$2.07,28.31
2015-12-31,51.61,$8.14,6.34
2015-09-30,48.18,$11.13,4.33
2015-06-30,53.39,$9.56,5.58
2015-03-31,58.32,$10.95,5.33
2014-12-31,57.33,$11.27,5.09
2016-03-31,56.29,$7.20,7.82
2014-09-30,49.87,$7.72,6.46
2014-06-30,47.5,$7.84,6.06
2014-03-31,45.55,$8.09,5.63
2013-12-31,43.68,$8.58,5.09
2013-09-30,40.3,$6.96,5.79
2013-06-30,38.17,$5.45,7.01
2013-03-31,38.72,$5.52,7.01
2012-12-31,31.52,$5.62,5.61
2012-09-30,30.92,$5.26,5.87
2012-06-30,27.23,$4.37,6.23
2012-03-31,25.38,$3.45,7.35
2011-12-31,20.98,$3.22,6.52
2011-09-30,17.99,$4.08,4.41
2011-06-30,23.0,$4.98,4.62
2011-03-31,23.78,$6.04,3.94
2010-12-31,23.7,$6.50,3.64
2010-09-30,23.29,$6.73,3.46
2010-06-30,21.06,$6.93,3.04
2010-03-31,23.53,$6.61,3.56
2009-12-31,21.74,$7.60,2.86
