JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data,JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data,JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data,JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.53,,0.0
2024-06-30,15.07,$-1.32,0.0
2024-03-31,15.69,$-1.24,0.0
2023-12-31,16.46,$-1.43,0.0
2023-09-30,13.76,$-1.72,0.0
2023-06-30,14.09,$-1.77,0.0
2023-03-31,13.89,$-1.70,0.0
2022-12-31,17.51,$-1.25,0.0
2022-09-30,16.73,$-0.78,0.0
2022-06-30,21.1,$-0.26,0.0
2022-03-31,25.84,$0.18,140.19
2021-12-31,25.39,$0.34,74.73
2021-09-30,25.78,$0.19,133.59
2021-06-30,27.23,$0.11,257.9
2021-03-31,27.28,$-0.27,0.0
2020-12-31,26.83,$-1.04,0.0
2020-09-30,22.6,$-1.57,0.0
2020-06-30,24.79,$-1.79,0.0
2020-03-31,26.49,$-2.11,0.0
2019-12-31,33.2,$-2.04,0.0
2019-09-30,32.26,$-1.98,0.0
2019-06-30,32.18,$-2.02,0.0
2019-03-31,33.64,$-1.65,0.0
2018-12-31,28.32,$-1.66,0.0
2018-09-30,29.51,$-1.52,0.0
2018-06-30,29.05,$-1.91,0.0
