Apollo Commercial Real Estate Finance Price to Free Cash Flow Ratio Historical Data,Apollo Commercial Real Estate Finance Price to Free Cash Flow Ratio Historical Data,Apollo Commercial Real Estate Finance Price to Free Cash Flow Ratio Historical Data,Apollo Commercial Real Estate Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.9,,13.1
2024-06-30,9.53,$0.68,14.03
2024-03-31,10.47,$0.91,11.49
2023-12-31,10.69,$1.42,7.51
2023-09-30,8.97,$1.56,5.74
2023-06-30,9.69,$1.76,5.5
2023-03-31,7.73,$1.68,4.59
2022-12-31,8.6,$1.42,6.07
2022-09-30,6.43,$1.46,4.39
2022-06-30,7.76,$1.06,7.34
2022-03-31,10.01,$1.53,6.54
2021-12-31,9.23,$1.43,6.43
2021-09-30,10.12,$1.55,6.53
2021-06-30,10.64,$1.77,6.01
2021-03-31,9.12,$1.01,8.99
2020-12-31,7.12,$1.11,6.42
2020-09-30,5.57,$1.10,5.06
2020-06-30,5.83,$1.22,4.79
2020-03-31,4.26,$1.56,2.73
2019-12-31,9.95,$1.56,6.4
2019-09-30,10.18,$1.52,6.7
2019-06-30,9.53,$0.98,9.69
2019-03-31,9.2,$1.29,7.15
2018-12-31,8.22,$1.73,4.75
2018-09-30,9.06,$2.69,3.37
2018-06-30,8.57,$2.91,2.95
2018-03-31,8.22,$3.26,2.52
2017-12-31,8.22,$23.13,0.36
2017-03-31,7.79,$22.34,0.35
2016-12-31,6.72,$22.26,0.3
2016-09-30,6.43,$21.75,0.3
2016-06-30,6.15,$1.11,5.53
2016-03-31,6.06,$1.00,6.06
2015-12-31,6.22,$1.14,5.46
2017-09-30,7.88,$1.06,7.41
2015-09-30,5.53,$1.71,3.23
2015-06-30,5.63,$1.59,3.54
2015-03-31,5.73,$1.58,3.64
2014-12-31,5.32,$1.53,3.47
2014-09-30,4.99,$1.24,4.01
2014-06-30,5.11,$1.30,3.94
2014-03-31,5.03,$0.86,5.88
2013-12-31,4.8,$0.90,5.34
2013-09-30,4.4,$0.91,4.86
2013-06-30,4.46,$0.84,5.33
2017-06-30,7.87,$1.77,4.43
2013-03-31,4.82,$1.60,3.01
2012-12-31,4.35,$1.77,2.46
2012-09-30,4.53,$2.16,2.1
2012-06-30,4.11,$1.68,2.44
2012-03-31,3.9,$2.09,1.87
2011-12-31,3.19,$1.86,1.72
2011-09-30,3.11,$1.57,1.98
2011-06-30,3.69,$1.62,2.28
2011-03-31,3.65,$1.46,2.51
2010-12-31,3.57,$1.31,2.73
2010-09-30,3.42,$0.99,3.47
2010-06-30,3.42,$0.60,5.69
