Formula Systems (1985) Price to Free Cash Flow Ratio Historical Data,Formula Systems (1985) Price to Free Cash Flow Ratio Historical Data,Formula Systems (1985) Price to Free Cash Flow Ratio Historical Data,Formula Systems (1985) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,78.0,,4.57
2024-06-30,71.42,$17.08,4.18
2024-03-31,81.73,$17.08,4.78
2023-12-31,64.3,$17.08,3.76
2023-09-30,74.0,$1.28,57.71
2023-06-30,73.35,$13.13,5.59
2023-03-31,64.03,$13.13,4.88
2022-12-31,69.15,$13.13,5.27
2021-12-31,119.05,$11.85,10.05
2021-09-30,94.28,$17.12,5.51
2021-06-30,85.74,$17.12,5.01
2021-03-31,84.59,$17.12,4.94
2020-12-31,80.87,$17.12,4.72
2020-09-30,73.26,$10.79,6.79
2020-06-30,72.98,$10.79,6.76
2020-03-31,50.32,$10.79,4.66
2019-12-31,63.75,$10.79,5.91
2022-09-30,79.7,0,0.0
2019-09-30,59.6,$3.27,18.23
2019-06-30,45.85,$4.02,11.41
2019-03-31,38.91,$4.02,9.68
2018-12-31,33.02,$4.02,8.21
2018-09-30,39.68,$4.97,7.98
2018-06-30,32.42,$2.40,13.53
2018-03-31,32.93,$4.22,7.8
2017-12-31,36.89,$4.22,8.74
2022-06-30,89.82,0,0.0
2017-09-30,38.4,$5.59,6.87
2017-06-30,33.27,$3.76,8.84
2017-03-31,35.48,$3.76,9.43
2016-12-31,35.82,$3.76,9.52
2016-09-30,33.89,$3.19,10.63
2016-06-30,28.06,$3.19,8.8
2016-03-31,26.48,$3.19,8.3
2015-12-31,22.89,$3.19,7.18
2022-03-31,96.69,0,0.0
2015-09-30,23.72,$0.57,41.38
2015-06-30,23.24,$0.57,40.54
2015-03-31,24.07,$0.57,42.0
2014-12-31,18.57,$0.57,32.4
2014-09-30,21.6,$4.34,4.98
2014-06-30,23.78,$4.34,5.48
2014-03-31,25.32,$4.34,5.83
2013-12-31,20.5,$4.34,4.72
2013-09-30,20.49,$4.91,4.17
2013-06-30,17.77,$4.91,3.62
2013-03-31,15.32,$4.91,3.12
2012-12-31,12.44,$4.91,2.53
2012-09-30,12.72,$1.24,10.25
2012-06-30,13.18,$1.24,10.62
2012-03-31,13.41,$-2.34,0.0
2011-12-31,11.86,$1.24,9.56
2011-09-30,9.61,0,0.0
2011-06-30,13.69,0,0.0
2010-12-31,14.3,$3.58,3.99
2010-09-30,11.1,$3.80,2.92
2010-06-30,9.87,$3.80,2.59
2010-03-31,11.28,$3.80,2.96
2009-12-31,7.91,$3.80,2.08
2009-09-30,6.76,0,0.0
