Halozyme Therapeutics Price to Free Cash Flow Ratio Historical Data,Halozyme Therapeutics Price to Free Cash Flow Ratio Historical Data,Halozyme Therapeutics Price to Free Cash Flow Ratio Historical Data,Halozyme Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.28,,16.93
2024-06-30,52.36,$3.09,16.95
2024-03-31,40.68,$3.21,12.67
2023-12-31,36.96,$2.78,13.29
2023-09-30,38.2,$2.67,14.31
2023-06-30,36.07,$2.22,16.28
2023-03-31,38.19,$2.07,18.44
2022-12-31,56.9,$1.86,30.62
2022-09-30,39.54,$1.79,22.11
2022-06-30,44.0,$2.11,20.83
2022-03-31,39.88,$1.97,20.2
2021-12-31,40.21,$2.03,19.81
2021-09-30,40.68,$1.82,22.36
2021-06-30,45.41,$1.03,44.02
2021-03-31,41.69,$0.80,51.9
2020-12-31,42.71,$0.38,111.84
2020-09-30,26.28,$-0.16,0.0
2020-06-30,26.81,$-0.59,0.0
2020-03-31,17.99,$-0.65,0.0
2019-12-31,17.73,$-0.57,0.0
2019-09-30,15.51,$-0.51,0.0
2019-03-31,16.1,$-0.25,0.0
2018-12-31,14.63,$-0.38,0.0
2018-09-30,18.17,$0.74,24.45
2018-06-30,16.87,$0.80,21.17
2018-03-31,19.59,$1.09,17.98
2017-12-31,20.26,$1.13,17.94
2019-06-30,17.18,$-0.22,0.0
2017-09-30,17.37,$-0.26,0.0
2017-06-30,12.82,$-0.50,0.0
2017-03-31,12.96,$-0.48,0.0
2016-12-31,9.88,$-0.42,0.0
2016-09-30,12.08,$-0.42,0.0
2016-06-30,8.63,$-0.49,0.0
2016-03-31,9.47,$-0.31,0.0
2015-12-31,17.33,$-0.31,0.0
2015-09-30,13.43,$-0.19,0.0
2015-06-30,22.58,$-0.16,0.0
2015-03-31,14.28,$-0.36,0.0
2014-12-31,9.65,$-0.40,0.0
2014-09-30,9.1,$-0.53,0.0
2014-06-30,9.88,$-0.54,0.0
2014-03-31,12.71,$-0.51,0.0
2013-12-31,14.99,$-0.46,0.0
2013-09-30,11.04,$-0.47,0.0
2013-06-30,7.95,$-0.49,0.0
2013-03-31,5.77,$-0.51,0.0
2012-12-31,6.71,$-0.59,0.0
2012-09-30,7.54,$-0.57,0.0
2012-06-30,8.86,$-0.57,0.0
2012-03-31,12.76,$-0.41,0.0
2011-12-31,9.51,$-0.34,0.0
2011-09-30,6.14,$-0.28,0.0
2011-06-30,6.91,$-0.27,0.0
2011-03-31,6.71,$-0.46,0.0
2010-12-31,7.92,$-0.49,0.0
2010-09-30,7.71,$-0.55,0.0
2010-06-30,7.04,$-0.58,0.0
2010-03-31,7.99,$-0.57,0.0
2009-12-31,5.87,$-0.48,0.0
