Clover Health Investments Price to Free Cash Flow Ratio Historical Data,Clover Health Investments Price to Free Cash Flow Ratio Historical Data,Clover Health Investments Price to Free Cash Flow Ratio Historical Data,Clover Health Investments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.18,,0.0
2024-06-30,1.23,$-0.38,0.0
2024-03-31,0.79,$-0.34,0.0
2023-12-31,0.95,$-0.24,0.0
2023-09-30,1.08,$-0.39,0.0
2023-06-30,0.9,$-0.13,0.0
2023-03-31,0.85,$-0.35,0.0
2022-12-31,0.93,$-0.61,0.0
2022-09-30,1.7,$-0.19,0.0
2022-06-30,2.14,$-0.50,0.0
2022-03-31,3.55,$-0.56,0.0
2021-12-31,3.72,$-0.69,0.0
2021-09-30,7.39,$-1.59,0.0
2021-06-30,13.32,$-1.63,0.0
2021-03-31,7.56,$-1.59,0.0
