Grid Dynamics Holdings Price to Free Cash Flow Ratio Historical Data,Grid Dynamics Holdings Price to Free Cash Flow Ratio Historical Data,Grid Dynamics Holdings Price to Free Cash Flow Ratio Historical Data,Grid Dynamics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.42,,51.04
2024-06-30,10.51,$0.30,34.79
2024-03-31,12.29,$0.31,40.03
2023-12-31,13.33,$0.44,30.17
2023-09-30,12.18,$0.51,23.94
2023-06-30,9.25,$0.43,21.3
2023-03-31,11.46,$0.39,29.57
2022-12-31,11.22,$0.37,30.35
2022-09-30,18.73,$0.26,71.38
2022-06-30,16.82,$0.32,52.58
2022-03-31,14.08,$0.30,46.78
2021-12-31,37.97,$0.23,168.01
2021-09-30,29.22,$0.24,121.65
2021-06-30,15.03,$0.21,71.67
2021-03-31,15.93,$0.25,64.89
2020-12-31,12.6,$0.08,153.1
2020-09-30,7.73,$0.10,74.18
2020-06-30,6.9,$0.02,331.73
2020-03-31,8.0,$0.01,0.0
2019-12-31,10.85,$0.46,23.57
2019-09-30,10.11,$0.38,26.32
