OFG Bancorp Price to Free Cash Flow Ratio Historical Data,OFG Bancorp Price to Free Cash Flow Ratio Historical Data,OFG Bancorp Price to Free Cash Flow Ratio Historical Data,OFG Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.57,,5.95
2024-06-30,37.24,$6.99,5.33
2024-03-31,36.36,$5.98,6.08
2023-12-31,36.77,$5.84,6.29
2023-09-30,29.13,$4.59,6.35
2023-06-30,25.25,$3.19,7.91
2023-03-31,23.95,$3.27,7.33
2022-12-31,26.23,$2.85,9.19
2022-09-30,23.75,$1.98,12.01
2022-06-30,23.81,$1.96,12.14
2022-03-31,24.83,$1.74,14.3
2021-12-31,24.61,$0.77,32.1
2021-09-30,23.27,$1.25,18.65
2021-06-30,20.31,$0.84,24.06
2020-12-31,16.9,$0.38,44.12
2020-09-30,11.32,$2.01,5.63
2020-06-30,12.08,$2.19,5.52
2020-03-31,10.04,$2.32,4.33
2019-12-31,21.08,$2.21,9.54
2021-03-31,20.7,$1.30,15.9
2019-09-30,19.5,$1.76,11.1
2019-06-30,21.09,$2.29,9.22
2019-03-31,17.51,$2.76,6.34
2018-12-31,14.51,$3.25,4.46
2018-09-30,14.18,$4.12,3.44
2018-03-31,9.1,$3.05,2.98
2017-12-31,8.14,$2.85,2.86
2017-09-30,7.87,$2.54,3.09
2017-06-30,8.55,$0.63,13.56
2017-03-31,10.03,$1.34,7.47
2016-12-31,11.07,$1.01,10.95
2018-06-30,12.29,$0.89,13.76
2016-09-30,8.51,$1.39,6.13
2016-06-30,6.94,$1.47,4.71
2016-03-31,5.8,$1.57,3.7
2015-12-31,6.02,$1.78,3.38
2015-09-30,7.13,$1.49,4.78
2015-06-30,8.62,$2.32,3.71
2015-03-31,13.09,$3.11,4.21
2014-12-31,13.27,$3.19,4.16
2014-09-30,11.87,$3.80,3.12
2014-06-30,14.51,$3.79,3.83
2014-03-31,13.49,$3.46,3.9
2013-12-31,13.55,$3.12,4.34
2013-09-30,12.59,$3.09,4.07
2013-06-30,14.03,$2.00,7.01
2013-03-31,11.98,$1.10,10.91
2012-12-31,10.27,$1.07,9.6
2012-09-30,8.06,$0.38,21.28
2012-06-30,8.44,$0.36,23.35
2012-03-31,9.16,$0.53,17.26
2011-12-31,9.12,$-0.92,0.0
2011-09-30,7.25,$-0.28,0.0
2011-06-30,9.61,$-0.65,0.0
2010-12-31,9.24,$-1.14,0.0
2010-09-30,9.8,$-1.34,0.0
2010-06-30,9.3,$-2.81,0.0
2010-03-31,9.88,$-3.04,0.0
2009-12-31,7.88,$-2.07,0.0
2011-03-31,9.32,$-0.97,0.0
