Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,177.12,,7.52
2024-06-30,172.65,$23.56,7.33
2024-03-31,199.58,$24.54,8.13
2023-12-31,146.22,$29.98,4.88
2023-09-30,148.34,$35.68,4.16
2023-06-30,113.69,$28.26,4.02
2023-03-31,130.55,$31.69,4.12
2022-12-31,112.03,$27.19,4.12
2022-09-30,95.02,$26.07,3.64
2022-06-30,78.17,$18.72,4.18
2022-03-31,80.82,$8.00,10.11
2021-12-31,60.04,$4.78,12.56
2021-09-30,57.48,$1.15,50.18
2021-06-30,55.63,$4.54,12.25
2021-03-31,48.78,$2.59,18.83
2020-12-31,37.29,$-0.34,0.0
2020-09-30,26.08,$-0.20,0.0
2020-06-30,32.72,$1.38,23.71
2020-03-31,20.33,$3.86,5.26
2019-12-31,51.34,$7.05,7.29
2019-09-30,51.33,$8.67,5.92
2019-06-30,46.68,$6.78,6.89
2019-03-31,49.49,$8.15,6.07
2018-12-31,48.4,$5.71,8.48
2018-09-30,65.11,$6.28,10.37
2018-06-30,56.78,$8.03,7.07
2018-03-31,58.82,$4.95,11.89
2017-12-31,52.72,$7.73,6.82
2017-09-30,44.52,$4.48,9.94
2017-06-30,41.23,$1.39,29.74
2017-03-31,39.55,$3.89,10.16
2016-12-31,39.12,$2.31,16.91
2016-09-30,31.28,$1.95,16.06
2016-06-30,29.0,$3.58,8.1
2016-03-31,28.15,$1.75,16.07
2015-12-31,38.86,$3.87,10.05
2015-09-30,34.52,$3.44,10.03
2015-06-30,38.76,$3.63,10.68
2015-03-31,37.75,$3.52,10.73
2014-12-31,33.12,$2.89,11.47
2014-09-30,30.9,$4.50,6.86
2014-06-30,28.33,$3.49,8.12
2014-03-31,31.44,$1.51,20.83
2013-12-31,32.98,$3.49,9.44
2013-09-30,23.0,$4.52,5.09
2013-06-30,25.1,$6.56,3.83
2013-03-31,31.51,$7.42,4.25
2012-12-31,22.06,$4.64,4.75
2012-09-30,19.0,$4.64,4.09
2012-06-30,15.52,$0.40,38.7
2012-03-31,14.88,$3.23,4.6
