Kinetik Holdings Price to Free Cash Flow Ratio Historical Data,Kinetik Holdings Price to Free Cash Flow Ratio Historical Data,Kinetik Holdings Price to Free Cash Flow Ratio Historical Data,Kinetik Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.72,,14.29
2024-06-30,40.7,$3.48,11.7
2024-03-31,38.42,$2.23,17.2
2023-12-31,31.49,$1.86,16.93
2023-09-30,31.14,$5.76,5.4
2023-06-30,31.76,$6.15,5.17
2023-03-31,27.54,$9.19,3.0
2022-12-31,28.38,$9.77,2.9
2022-09-30,27.95,$7.00,3.99
2022-06-30,28.72,$5.03,5.71
2022-03-31,26.79,$1.85,14.5
2021-12-31,25.27,0,0.0
2021-09-30,27.78,$-0.53,0.0
2021-06-30,26.54,$-8.95,0.0
2021-03-31,20.15,$-1.19,0.0
2020-12-31,17.75,0,0.0
2020-09-30,4.16,$-25.02,0.0
2020-06-30,4.74,$6.89,0.69
2020-03-31,5.61,$-27.84,0.0
2019-12-31,21.4,$-33.78,0.0
2019-09-30,21.17,$-13.05,0.0
2019-06-30,27.83,$-36.53,0.0
2019-03-31,44.14,$-9.57,0.0
2018-12-31,57.84,$-4.81,0.0
2018-09-30,76.02,$0.30,256.56
2018-06-30,74.07,$0.17,442.49
2018-03-31,73.25,0,0.0
