Deutsche Bank Aktiengesellschaft Price to Free Cash Flow Ratio Historical Data,Deutsche Bank Aktiengesellschaft Price to Free Cash Flow Ratio Historical Data,Deutsche Bank Aktiengesellschaft Price to Free Cash Flow Ratio Historical Data,Deutsche Bank Aktiengesellschaft Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.5,,0.0
2024-06-30,15.94,$-13.64,0.0
2023-12-31,13.2,$2.68,4.92
2023-09-30,10.71,$-1.89,0.0
2023-06-30,10.26,$-10.50,0.0
2023-03-31,9.65,$-6.80,0.0
2022-06-30,8.26,$16.67,0.5
2022-03-31,11.71,$7.63,1.54
2021-06-30,12.11,$7.63,1.59
2020-06-30,8.81,$4.49,1.96
2019-06-30,7.06,$-22.25,0.0
2019-03-31,7.4,$-23.89,0.0
2018-12-31,7.43,$-30.44,0.0
2018-09-30,10.36,$-10.37,0.0
2018-06-30,9.68,$-17.84,0.0
2018-03-31,12.61,$18.17,0.69
2017-12-31,17.17,$22.52,0.76
2017-09-30,15.59,$59.53,0.26
2017-06-30,16.05,$53.09,0.3
2017-03-31,15.48,$40.79,0.38
2016-12-31,16.33,$55.88,0.29
2016-09-30,11.81,$22.13,0.53
2016-06-30,12.39,$74.77,0.17
2016-03-31,15.28,$51.50,0.3
2015-12-31,21.79,$53.68,0.41
2015-09-30,24.32,$20.02,1.21
2015-06-30,27.21,$1.82,14.98
2015-03-31,30.54,$18.95,1.61
2014-12-31,26.39,$-1.22,0.0
2014-09-30,30.65,$12.98,2.36
2014-06-30,30.93,$16.07,1.92
2014-03-31,38.45,$-6.76,0.0
2013-12-31,41.38,$8.82,4.69
2013-09-30,39.35,$-0.14,0.0
2013-06-30,35.98,$-33.99,0.0
2013-03-31,32.86,$0.51,64.1
2012-12-31,37.2,$-34.02,0.0
2012-09-30,33.3,$-0.04,0.0
2012-06-30,30.38,$21.76,1.4
2012-03-31,40.69,$-4.40,0.0
2011-12-31,30.94,$10.43,2.97
2011-09-30,28.28,$-26.31,0.0
2011-06-30,48.41,$-60.07,0.0
2011-03-31,47.4,$-34.61,0.0
2010-12-31,41.77,$-6.22,0.0
2010-09-30,44.08,$-27.04,0.0
2010-06-30,45.07,$52.81,0.85
2010-03-31,60.75,$39.01,1.56
2009-12-31,56.04,$-30.34,0.0
2009-09-30,60.67,$6.36,9.53
