Maravai LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data,Maravai LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data,Maravai LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data,Maravai LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.11,,0.0
2024-06-30,7.16,$-0.13,0.0
2024-03-31,8.67,$-0.23,0.0
2023-12-31,6.55,$0.46,14.24
2023-09-30,10.0,$-0.67,0.0
2023-06-30,12.43,$1.31,9.48
2023-03-31,14.01,$1.99,7.03
2022-12-31,14.31,$2.03,7.04
2022-09-30,25.53,$3.44,7.42
2022-06-30,28.41,$0.88,32.22
2022-03-31,35.27,$1.63,21.62
2021-12-31,41.9,$1.37,30.49
2021-09-30,49.08,$2.58,19.04
