Scholar Rock Holding Price to Free Cash Flow Ratio Historical Data,Scholar Rock Holding Price to Free Cash Flow Ratio Historical Data,Scholar Rock Holding Price to Free Cash Flow Ratio Historical Data,Scholar Rock Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.25,,0.0
2024-06-30,8.33,$-1.82,0.0
2024-03-31,17.76,$-1.72,0.0
2023-12-31,18.8,$-1.74,0.0
2023-09-30,7.1,$-2.26,0.0
2023-06-30,7.54,$-1.31,0.0
2023-03-31,8.0,$-1.64,0.0
2022-12-31,9.05,$-2.24,0.0
2022-09-30,6.93,$-2.22,0.0
2022-06-30,5.49,$-3.79,0.0
2022-03-31,12.89,$-2.65,0.0
2021-12-31,24.84,$-2.16,0.0
2021-09-30,33.02,$-2.11,0.0
2021-06-30,28.9,$-1.77,0.0
2020-12-31,48.53,$-2.09,0.0
2020-09-30,17.69,$-2.17,0.0
2020-06-30,18.21,$-2.20,0.0
2020-03-31,12.11,$-2.32,0.0
2019-12-31,13.18,$-3.05,0.0
2019-09-30,8.95,$-2.95,0.0
2021-03-31,50.66,$0.69,73.66
2019-06-30,15.86,$2.24,7.08
2019-03-31,18.79,$0.84,22.35
