Gap Price to Free Cash Flow Ratio Historical Data,Gap Price to Free Cash Flow Ratio Historical Data,Gap Price to Free Cash Flow Ratio Historical Data,Gap Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.24,,7.16
2024-07-31,23.31,$3.10,7.51
2024-04-30,20.24,$3.07,6.6
2024-01-31,18.32,$3.16,5.8
2023-10-31,12.45,$3.32,3.75
2023-07-31,9.88,$2.89,3.42
2023-04-30,9.05,$1.66,5.46
2023-01-31,12.6,$1.04,12.17
2022-10-31,10.33,$-0.85,0.0
2022-07-31,8.68,$-1.82,0.0
2022-04-30,11.01,$-0.96,0.0
2022-01-31,15.85,$0.30,52.77
2021-10-31,19.77,$-0.19,0.0
2021-07-31,25.29,$1.73,14.62
2021-04-30,28.59,$3.00,9.53
2021-01-31,17.36,$-0.41,0.0
2020-10-31,16.67,$2.16,7.73
2020-07-31,11.46,$0.40,28.45
2020-04-30,6.96,$-0.62,0.0
2020-01-31,14.92,$1.55,9.62
2019-10-31,13.75,$1.28,10.73
2019-07-31,16.24,$1.54,10.57
2019-04-30,21.44,$1.58,13.55
2019-01-31,20.72,$1.74,11.89
2018-10-31,22.23,$1.44,15.46
2018-07-31,24.35,$1.67,14.58
2018-04-30,23.42,$1.17,20.06
2018-01-31,26.41,$1.64,16.12
2017-10-31,20.51,$2.29,8.94
2017-07-31,18.66,$2.36,7.92
2017-04-30,20.3,$2.87,7.08
2017-01-31,17.68,$2.99,5.92
2016-10-31,20.96,$2.58,8.12
2016-07-31,19.39,$2.45,7.92
2016-04-30,17.24,$2.03,8.49
2016-01-31,18.24,$2.10,8.68
2015-10-31,19.91,$2.39,8.34
2015-07-31,26.47,$2.53,10.48
2015-04-30,28.6,$2.86,10.01
2015-01-31,29.56,$3.49,8.47
2014-10-31,27.05,$2.88,9.38
2014-07-31,28.48,$2.85,9.99
2014-04-30,27.76,$2.56,10.85
2014-01-31,26.75,$2.22,12.07
2013-10-31,25.85,$2.02,12.78
2013-07-31,31.74,$2.39,13.27
2013-04-30,26.18,$2.61,10.01
2013-01-31,22.43,$2.62,8.57
2012-10-31,24.41,$2.68,9.11
2012-07-31,20.09,$2.35,8.54
2012-04-30,19.32,$1.79,10.8
2012-01-31,12.81,$1.53,8.38
2011-10-31,12.68,$1.46,8.71
2011-07-31,12.85,$1.95,6.59
2011-04-30,15.39,$1.70,9.05
2011-01-31,12.7,$1.85,6.86
2010-10-31,12.47,$1.79,6.95
2010-07-31,11.82,$1.89,6.26
2010-04-30,16.05,$2.41,6.66
2010-01-31,12.33,$2.28,5.41
2009-10-31,13.74,$2.69,5.11
