Barrick Gold Price to Free Cash Flow Ratio Historical Data,Barrick Gold Price to Free Cash Flow Ratio Historical Data,Barrick Gold Price to Free Cash Flow Ratio Historical Data,Barrick Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.34,,40.52
2024-06-30,16.6,$0.50,33.06
2024-03-31,16.56,$0.34,48.44
2023-12-31,17.88,$0.38,47.61
2023-09-30,14.3,$0.25,57.71
2023-06-30,16.53,$0.05,306.73
2023-03-31,18.03,$0.12,145.38
2022-12-31,16.57,$0.29,56.45
2022-09-30,14.81,$0.75,19.68
2022-06-30,16.68,$1.02,16.35
2022-03-31,22.91,$0.90,25.4
2021-12-31,17.67,$1.11,15.89
2021-09-30,16.71,$1.33,12.6
2021-06-30,19.05,$1.79,10.65
2021-03-31,18.18,$2.10,8.66
2020-12-31,20.81,$1.92,10.86
2020-09-30,25.58,$1.54,16.61
2020-06-30,24.45,$1.09,22.41
2020-03-31,16.58,$0.83,19.92
2019-12-31,16.76,$0.67,25.12
2019-09-30,15.58,$0.46,33.55
2019-06-30,14.15,$0.45,31.75
2019-03-31,12.26,$0.26,46.66
2018-12-31,12.11,$0.37,32.47
2018-09-30,9.86,$0.55,18.06
2018-06-30,11.65,$0.47,25.04
2018-03-31,11.02,$0.65,16.97
2017-12-31,12.77,$0.60,21.37
2017-09-30,14.17,$0.74,19.08
2017-06-30,13.99,$1.20,11.64
2017-03-31,16.67,$1.40,11.9
2016-12-31,14.0,$1.42,9.89
2016-09-30,15.51,$1.40,11.1
2016-06-30,18.67,$1.49,12.49
2016-03-31,11.86,$1.28,9.24
2015-12-31,6.44,$0.96,6.67
2015-09-30,5.53,$0.48,11.46
2015-06-30,9.24,$-0.08,0.0
2015-03-31,9.46,$-0.22,0.0
2014-12-31,9.25,$-0.05,0.0
2014-09-30,12.56,$-0.20,0.0
2014-06-30,15.63,$-0.36,0.0
2014-03-31,15.18,$-0.89,0.0
2013-12-31,14.98,$-1.19,0.0
2013-09-30,15.77,$-1.10,0.0
2013-06-30,13.3,$-0.93,0.0
2013-03-31,24.59,$-1.02,0.0
2012-12-31,29.1,$-0.77,0.0
2012-09-30,34.51,$-0.68,0.0
2012-06-30,30.88,$-0.47,0.0
2012-03-31,35.55,$-0.05,0.0
2011-12-31,36.89,$0.39,94.68
2011-09-30,37.91,$0.15,249.91
2011-06-30,36.72,$0.27,138.35
2011-03-31,41.87,$0.84,49.82
2010-12-31,42.8,$0.87,49.16
2010-09-30,37.16,$-4.40,0.0
2010-06-30,36.36,$-4.48,0.0
2010-03-31,30.56,$-4.61,0.0
2009-12-31,31.38,$-5.16,0.0
