Stifel Financial Price to Free Cash Flow Ratio Historical Data,Stifel Financial Price to Free Cash Flow Ratio Historical Data,Stifel Financial Price to Free Cash Flow Ratio Historical Data,Stifel Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,102.42,,195.46
2024-06-30,83.74,$0.52,159.8
2024-03-31,77.79,$1.78,43.64
2023-12-31,68.43,$3.94,17.35
2023-09-30,60.45,$8.61,7.02
2023-06-30,58.38,$11.12,5.25
2023-03-31,57.44,$11.50,4.99
2022-12-31,56.44,$9.15,6.17
2022-09-30,49.96,$5.84,8.55
2022-06-30,53.64,$8.65,6.2
2022-03-31,64.72,$5.70,11.35
2021-12-31,66.84,$7.02,9.52
2021-09-30,64.37,$6.11,10.54
2021-06-30,61.3,$2.43,25.2
2021-03-31,60.42,$5.38,11.24
2020-12-31,47.47,$14.57,3.26
2020-09-30,31.63,$14.58,2.17
2020-06-30,29.58,$11.24,2.63
2019-12-31,37.57,$3.98,9.44
2019-09-30,35.46,$8.21,4.32
2019-06-30,36.39,$0.16,230.78
2019-03-31,32.42,$1.25,25.93
2018-12-31,25.38,$6.16,4.12
2020-03-31,25.65,$-5.83,0.0
2018-09-30,31.34,$-2.39,0.0
2018-06-30,31.87,$-0.84,0.0
2018-03-31,36.06,$0.19,193.02
2017-12-31,36.19,$5.36,6.75
2017-09-30,32.42,$4.89,6.62
2017-06-30,27.83,$4.22,6.6
2017-03-31,30.38,$-1.31,0.0
2016-12-31,30.23,$-4.04,0.0
2016-09-30,23.27,$-4.01,0.0
2016-06-30,19.04,$-1.55,0.0
2016-03-31,17.92,$-0.67,0.0
2015-12-31,25.64,$-2.81,0.0
2015-09-30,25.48,$2.09,12.19
2015-06-30,34.95,$0.37,93.77
2015-03-31,33.74,$2.22,15.21
2014-12-31,30.88,$1.95,15.82
2014-09-30,28.38,$1.76,16.16
2014-06-30,28.66,$1.79,16.02
2014-03-31,30.12,$2.54,11.84
2013-12-31,29.0,$6.08,4.77
2013-09-30,24.95,$1.34,18.67
2013-06-30,21.59,$1.00,21.58
2013-03-31,20.98,$-0.44,0.0
2012-12-31,19.35,$-3.00,0.0
2012-09-30,20.34,$0.88,23.16
2012-06-30,18.7,$-2.37,0.0
2012-03-31,22.9,$0.64,35.71
2011-12-31,19.4,$-0.15,0.0
2011-09-30,16.08,$0.34,47.55
2011-06-30,21.7,$0.07,291.72
2011-03-31,28.97,$-0.45,0.0
2010-12-31,25.03,$1.31,19.04
2010-09-30,18.68,$-0.70,0.0
2010-06-30,17.51,$2.15,8.14
2010-03-31,21.69,$-1.28,0.0
2009-12-31,23.9,$-5.16,0.0
