Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data,Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data,Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data,Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.26,,13.01
2024-06-30,20.7,$1.94,10.66
2024-03-31,15.96,$1.82,8.78
2023-12-31,18.06,$-0.61,0.0
2023-09-30,17.84,$-0.84,0.0
2023-06-30,7.94,$-2.86,0.0
2023-03-31,9.89,$-3.52,0.0
2022-12-31,9.69,$-0.05,0.0
2022-09-30,12.63,$-0.48,0.0
2022-06-30,14.18,$1.34,10.54
2022-03-31,16.75,$1.18,14.19
2021-12-31,17.71,$-0.24,0.0
2021-09-30,16.99,$0.68,25.11
2021-06-30,19.57,$0.19,103.22
2021-03-31,19.69,$1.30,15.16
2020-12-31,15.8,$1.69,9.37
2020-09-30,15.55,$0.61,25.71
2020-06-30,16.63,$0.50,33.43
2020-03-31,13.9,$-1.06,0.0
2019-12-31,20.88,$0.51,41.05
2019-09-30,21.04,$1.01,20.89
2019-06-30,24.64,$2.17,11.38
2019-03-31,24.77,$2.86,8.65
2018-12-31,26.09,$2.11,12.34
2018-09-30,24.29,$2.01,12.11
2018-06-30,21.77,$1.44,15.11
2018-03-31,22.12,$1.46,15.18
2017-12-31,21.82,$0.81,26.86
2017-09-30,21.76,$1.41,15.39
2017-06-30,21.53,$1.28,16.83
2017-03-31,20.45,$0.61,33.33
2016-12-31,22.14,$1.32,16.83
2016-09-30,20.74,$0.27,75.84
2016-06-30,22.51,$-0.66,0.0
2016-03-31,22.71,$-1.04,0.0
2015-12-31,19.44,$-0.10,0.0
2015-09-30,18.64,$-1.67,0.0
2015-06-30,21.84,$-1.89,0.0
2015-03-31,18.41,$-1.59,0.0
2014-12-31,18.57,$-3.74,0.0
2014-09-30,17.52,$-2.32,0.0
2014-06-30,19.0,$-5.05,0.0
2014-03-31,18.97,$-4.63,0.0
2013-12-31,18.55,$-3.57,0.0
2013-09-30,21.15,$-1.05,0.0
2013-06-30,17.57,$2.21,7.93
2013-03-31,14.93,$1.29,11.59
2012-12-31,15.6,$1.01,15.49
2012-09-30,17.94,$-0.23,0.0
2012-06-30,14.85,$0.72,20.67
2012-03-31,16.05,$1.37,11.72
2011-12-31,16.43,$2.60,6.31
2011-09-30,13.42,$3.72,3.61
2011-06-30,19.54,$3.38,5.77
2011-03-31,21.1,$4.09,5.16
2010-12-31,22.8,$3.05,7.47
2010-09-30,20.39,$3.31,6.16
2010-06-30,18.83,$4.17,4.52
2010-03-31,20.9,$3.92,5.34
2009-12-31,20.88,$3.84,5.44
