Unity Software Price to Free Cash Flow Ratio Historical Data,Unity Software Price to Free Cash Flow Ratio Historical Data,Unity Software Price to Free Cash Flow Ratio Historical Data,Unity Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.27,,35.53
2024-06-30,16.26,$0.60,27.16
2024-03-31,26.7,$0.48,55.17
2023-12-31,40.89,$0.47,87.02
2023-09-30,31.39,$0.11,289.31
2023-06-30,43.42,$-0.03,0.0
2023-03-31,32.44,$-0.72,0.0
2022-12-31,28.59,$-0.38,0.0
2022-09-30,31.86,$-0.37,0.0
2022-06-30,36.82,$-0.38,0.0
2022-03-31,99.21,$0.11,867.22
2021-12-31,142.99,$-0.54,0.0
2021-09-30,126.25,$-0.31,0.0
2021-06-30,109.83,$-0.60,0.0
