American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,143.12,,0.0
2024-06-30,128.46,$-1.54,0.0
2023-12-31,129.78,$-3.63,0.0
2023-09-30,121.05,$-4.24,0.0
2023-06-30,138.86,$-5.44,0.0
2023-03-31,141.82,$-4.67,0.0
2022-12-31,146.94,$-6.29,0.0
2024-03-31,120.86,$-2.40,0.0
2022-09-30,124.89,$0.55,227.32
2022-06-30,142.15,$1.04,136.17
2022-03-31,157.45,$3.57,44.09
2021-12-31,178.95,$0.82,218.58
2021-09-30,159.6,$-1.35,0.0
2021-06-30,145.03,$-1.58,0.0
2021-03-31,140.53,$-1.81,0.0
2020-12-31,143.38,$-2.16,0.0
2020-09-30,134.89,$-2.17,0.0
2020-06-30,119.33,$-1.90,0.0
2020-03-31,110.38,$-1.69,0.0
2019-12-31,113.0,$-1.23,0.0
2019-09-30,113.78,$-1.15,0.0
2019-06-30,105.8,$-0.95,0.0
2019-03-31,94.66,$-0.93,0.0
2018-12-31,82.02,$-0.92,0.0
2018-09-30,79.08,$-0.81,0.0
2018-06-30,76.36,$-0.58,0.0
2018-03-31,73.06,$-0.65,0.0
2017-12-31,80.96,$0.17,483.04
2017-09-30,71.26,$0.17,426.98
2017-06-30,68.31,$-0.15,0.0
2017-03-31,67.79,$-0.26,0.0
2016-12-31,62.75,$-0.46,0.0
2016-09-30,64.56,$0.43,148.51
2016-06-30,72.56,$-0.18,0.0
2015-12-31,50.77,$0.22,228.49
2015-09-30,46.53,$0.28,169.02
2015-06-30,40.81,$0.27,148.68
2015-03-31,45.21,$0.42,108.23
2014-12-31,44.2,$0.86,51.34
2014-09-30,39.76,$0.37,106.18
2014-06-30,40.5,$0.59,68.76
2014-03-31,36.94,$0.18,201.07
2013-12-31,34.16,$-0.46,0.0
2013-09-30,33.15,$-0.01,0.0
2013-06-30,32.88,$0.28,117.56
2013-03-31,32.83,$0.84,39.31
2012-12-31,29.42,$3.31,8.88
2012-09-30,28.97,$3.07,9.43
2012-06-30,26.61,$2.35,11.33
2012-03-31,26.23,$1.60,16.34
2011-12-31,24.39,$-0.60,0.0
2011-09-30,22.93,$-0.54,0.0
2011-06-30,22.19,$-0.47,0.0
2011-03-31,20.97,$-0.22,0.0
2010-12-31,18.76,$0.05,344.17
2010-09-30,17.1,$-0.06,0.0
2010-06-30,14.99,$-0.24,0.0
2010-03-31,15.68,$-0.59,0.0
2009-12-31,16.0,$-1.12,0.0
2009-09-30,14.09,$-0.82,0.0
