Brown Forman Price to Free Cash Flow Ratio Historical Data,Brown Forman Price to Free Cash Flow Ratio Historical Data,Brown Forman Price to Free Cash Flow Ratio Historical Data,Brown Forman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.55,,50.68
2024-07-31,45.59,$0.96,47.59
2024-04-30,49.07,$0.88,55.89
2024-01-31,56.37,$0.79,71.21
2023-10-31,57.42,$0.48,120.43
2023-07-31,71.91,$0.64,112.91
2023-04-30,65.88,$0.95,69.26
2023-01-31,66.5,$1.00,66.43
2022-10-31,68.77,$1.57,43.77
2022-07-31,72.4,$1.60,45.36
2022-04-30,62.42,$1.66,37.59
2022-01-31,62.64,$1.76,35.53
2021-10-31,64.03,$1.67,38.32
2021-07-31,66.89,$1.77,37.83
2021-04-30,71.18,$1.57,45.32
2021-01-31,65.78,$1.49,44.09
2020-10-31,62.28,$1.51,41.22
2020-07-31,62.61,$1.32,47.3
2020-04-30,56.0,$1.27,44.03
2020-01-31,63.26,$1.27,49.82
2019-10-31,61.01,$1.25,48.84
2019-07-31,52.23,$0.43,120.71
2019-04-30,51.03,$0.42,122.3
2019-01-31,45.74,$0.71,64.58
2018-10-31,44.94,$0.29,153.11
2018-04-30,51.42,$1.09,47.34
2018-01-31,52.05,$1.90,27.43
2017-10-31,43.12,$1.43,30.08
2017-07-31,38.64,$1.78,21.76
2017-04-30,35.91,$1.66,21.62
2018-07-31,51.47,$0.99,52.24
2017-01-31,34.83,$0.88,39.76
2016-10-31,35.97,$0.17,211.57
2016-07-31,39.05,$0.51,76.8
2016-04-30,38.21,$0.79,48.12
2016-01-31,39.03,$0.56,69.6
2015-04-30,33.61,$0.92,36.69
2015-01-31,32.18,$1.32,24.34
2014-10-31,32.86,$0.43,75.94
2014-07-31,31.07,$0.87,35.91
2014-04-30,32.02,$0.85,37.67
2015-10-31,42.02,$0.19,224.8
2014-01-31,27.58,$0.81,33.89
2013-10-31,25.71,$0.85,30.24
2013-07-31,26.23,$0.82,32.05
2013-04-30,24.99,$0.82,30.39
2013-01-31,23.15,$0.84,27.51
2012-10-31,20.22,$0.83,24.38
2012-07-31,19.91,$0.87,22.81
2012-04-30,18.42,$0.85,21.73
2012-01-31,17.23,$0.79,21.92
2011-10-31,15.73,$0.84,18.62
2011-07-31,15.32,$0.83,18.39
2011-04-30,14.99,$0.91,16.47
2011-01-31,14.14,$1.42,9.98
2010-10-31,12.7,$1.24,10.25
2010-07-31,13.32,$1.49,8.93
2010-04-30,12.41,$1.46,8.5
2015-07-31,43.62,$0.94,46.25
2010-01-31,10.98,$0.98,11.25
2009-10-31,10.47,$1.13,9.3
