"AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.46,,7.99
2024-06-30,6.35,$1.06,6.0
2024-03-31,6.06,$0.81,7.52
2023-12-31,6.07,$1.70,3.58
2023-09-30,4.22,$0.87,4.88
2023-06-30,3.1,$0.96,3.22
2023-03-31,1.39,$-0.33,0.0
2022-12-31,1.99,$-0.86,0.0
2022-09-30,2.02,$-0.15,0.0
2022-06-30,3.18,$-1.06,0.0
2021-12-31,4.79,$1.29,3.71
2021-09-30,5.34,$2.39,2.24
2021-06-30,5.12,$2.62,1.95
2021-03-31,6.73,$3.22,2.09
2020-12-31,4.57,$3.49,1.31
2022-03-31,4.17,$2.36,1.77
2020-09-30,3.88,$1.22,3.18
2020-06-30,4.76,$2.09,2.28
2020-03-31,3.48,$-0.06,0.0
2019-12-31,4.82,$1.73,2.78
2019-09-30,2.9,$2.44,1.19
2019-03-31,14.17,$0.52,27.11
2018-12-31,13.53,$1.51,8.94
2018-09-30,22.19,$-1.48,0.0
