CrowdStrike Price to Free Cash Flow Ratio Historical Data,CrowdStrike Price to Free Cash Flow Ratio Historical Data,CrowdStrike Price to Free Cash Flow Ratio Historical Data,CrowdStrike Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,277.28,,123.39
2024-04-30,292.54,$2.25,130.19
2024-01-31,292.5,$1.86,157.26
2023-10-31,176.77,$1.43,123.43
2023-07-31,161.66,$1.04,155.32
2023-01-31,105.9,$2.90,36.47
2022-10-31,161.2,$3.00,53.78
2022-07-31,183.6,$3.21,57.27
2022-04-30,198.76,$3.16,62.89
2022-01-31,180.64,$2.80,64.54
2023-04-30,120.05,$2.32,51.66
2021-10-31,281.8,$1.83,153.87
2021-07-31,253.61,$1.64,154.88
2021-04-30,208.51,$1.46,142.8
2021-01-31,215.8,$1.35,160.43
2020-10-31,123.84,$1.16,106.53
2020-07-31,113.2,$0.98,115.13
2020-04-30,67.66,$0.49,137.44
