Axcelis Technologies Price to Free Cash Flow Ratio Historical Data,Axcelis Technologies Price to Free Cash Flow Ratio Historical Data,Axcelis Technologies Price to Free Cash Flow Ratio Historical Data,Axcelis Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.79,,20.23
2024-06-30,142.19,$4.64,30.66
2024-03-31,111.52,$4.37,25.52
2023-12-31,129.69,$4.11,31.58
2023-09-30,163.05,$5.96,27.36
2023-06-30,183.33,$7.21,25.43
2023-03-31,133.25,$6.37,20.93
2022-12-31,79.36,$6.11,12.99
2022-09-30,60.56,$3.59,16.85
2022-06-30,54.84,$3.63,15.11
2022-03-31,75.53,$4.45,16.99
2021-12-31,74.56,$4.13,18.06
2021-09-30,47.03,$2.90,16.22
2021-06-30,40.42,$1.52,26.6
2021-03-31,41.09,$1.10,37.38
2020-12-31,29.12,$1.83,15.92
2020-09-30,22.0,$1.64,13.43
2020-06-30,27.85,$1.68,16.57
2020-03-31,18.31,$0.86,21.38
2019-12-31,24.1,$-0.76,0.0
2019-09-30,17.09,$0.51,33.73
2019-06-30,15.05,$-0.02,0.0
2019-03-31,20.12,$0.53,38.0
2018-12-31,17.8,$1.24,14.32
2018-09-30,19.65,$0.86,22.79
2018-06-30,19.8,$0.98,20.26
2018-03-31,24.6,$1.81,13.59
2017-12-31,28.7,$1.47,19.58
2017-09-30,27.35,$1.13,24.26
2017-06-30,20.95,$1.14,18.39
2017-03-31,18.8,$-0.10,0.0
2016-12-31,14.55,$-0.36,0.0
2016-09-30,13.28,$-0.31,0.0
2016-06-30,10.76,$-0.43,0.0
2016-03-31,11.2,$-0.12,0.0
2015-12-31,10.36,$0.54,19.05
2015-09-30,10.68,$0.27,38.98
2015-06-30,11.84,$0.21,57.25
2015-03-31,9.52,$-0.18,0.0
2014-12-31,10.24,$-0.61,0.0
2014-09-30,7.96,$-0.69,0.0
2014-06-30,8.0,$-0.62,0.0
2014-03-31,8.6,$-0.65,0.0
2013-12-31,9.76,$-0.58,0.0
2013-09-30,8.44,$-0.39,0.0
2013-06-30,7.28,$-0.35,0.0
2013-03-31,5.0,$-0.12,0.0
2012-12-31,5.52,$-0.42,0.0
2012-09-30,4.2,$-0.35,0.0
2012-06-30,4.8,$-0.09,0.0
2012-03-31,6.88,$-0.25,0.0
2011-12-31,5.32,$0.05,102.9
2011-09-30,4.8,$-0.35,0.0
2011-06-30,6.56,$-0.69,0.0
2011-03-31,10.6,$0.04,239.82
2010-12-31,13.84,$-0.28,0.0
2010-09-30,7.72,$0.18,43.18
2010-06-30,6.2,$-0.13,0.0
2010-03-31,6.64,$-1.24,0.0
2009-12-31,5.64,$-1.32,0.0
