Genworth Financial Price to Free Cash Flow Ratio Historical Data,Genworth Financial Price to Free Cash Flow Ratio Historical Data,Genworth Financial Price to Free Cash Flow Ratio Historical Data,Genworth Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.22,,15.87
2024-06-30,6.04,$0.46,13.27
2024-03-31,6.43,$0.99,6.52
2023-12-31,6.68,$1.26,5.31
2023-09-30,5.86,$1.75,3.34
2023-06-30,5.0,$1.97,2.53
2023-03-31,5.02,$2.27,2.22
2022-12-31,5.29,$2.05,2.58
2022-09-30,3.5,$1.55,2.26
2022-06-30,3.53,$1.06,3.33
2022-03-31,3.78,$1.15,3.28
2021-12-31,4.05,$0.85,4.77
2021-09-30,3.75,$1.56,2.41
2021-06-30,3.9,$1.74,2.24
2021-03-31,3.32,$2.00,1.66
2020-12-31,3.78,$3.83,0.99
2020-09-30,3.35,$3.77,0.89
2020-06-30,2.31,$5.05,0.46
2020-03-31,3.32,$5.16,0.64
2019-12-31,4.4,$4.08,1.08
2019-09-30,4.4,$4.48,0.98
2019-06-30,3.71,$3.71,1.0
2019-03-31,3.83,$3.31,1.16
2018-12-31,4.66,$3.26,1.43
2018-09-30,4.17,$3.18,1.31
2018-06-30,4.5,$3.60,1.25
2018-03-31,2.83,$4.00,0.71
2017-12-31,3.11,$5.09,0.61
2017-09-30,3.85,$4.00,0.96
2017-06-30,3.77,$4.24,0.89
2017-03-31,4.12,$4.55,0.91
2016-12-31,3.81,$3.76,1.01
2016-09-30,4.96,$4.48,1.11
2016-06-30,2.58,$4.31,0.6
2016-03-31,2.73,$2.46,1.11
2015-12-31,3.73,$3.20,1.17
2015-09-30,4.62,$4.94,0.93
2015-06-30,7.57,$4.79,1.58
2015-03-31,7.31,$6.04,1.21
2014-12-31,8.5,$4.91,1.73
2014-09-30,13.1,$2.91,4.5
2014-06-30,17.4,$2.65,6.55
2014-03-31,17.73,$2.81,6.32
2013-12-31,15.53,$2.81,5.54
2013-09-30,12.8,$3.27,3.91
2013-06-30,11.41,$2.80,4.08
2013-03-31,10.0,$2.58,3.88
2012-12-31,7.51,$1.95,3.86
2012-09-30,5.23,$3.06,1.71
2012-06-30,5.66,$5.06,1.12
2012-03-31,8.32,$5.14,1.62
2011-12-31,6.55,$6.33,1.03
2011-09-30,5.74,$4.87,1.18
2011-06-30,10.28,$3.29,3.12
2011-03-31,13.46,$3.12,4.31
2010-12-31,13.14,$2.71,4.86
2010-09-30,12.22,$2.15,5.68
2010-06-30,13.07,$2.25,5.82
2010-03-31,18.34,$2.74,6.7
2009-12-31,11.35,$4.28,2.65
