Energizer Holdings Price to Free Cash Flow Ratio Historical Data,Energizer Holdings Price to Free Cash Flow Ratio Historical Data,Energizer Holdings Price to Free Cash Flow Ratio Historical Data,Energizer Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.48,,8.56
2024-06-30,29.25,$3.79,7.71
2024-03-31,28.87,$4.27,6.76
2023-12-31,30.75,$4.68,6.57
2023-09-30,30.81,$4.68,6.58
2023-06-30,32.01,$4.91,6.52
2023-03-31,32.79,$3.72,8.81
2022-12-31,31.44,$2.20,14.32
2022-09-30,23.35,$-1.09,0.0
2022-06-30,26.08,$-0.27,0.0
2022-03-31,28.02,$-0.31,0.0
2021-12-31,36.21,$-0.35,0.0
2021-09-30,34.98,$1.75,19.95
2021-06-30,38.21,$1.64,23.33
2021-03-31,41.92,$3.61,11.63
2020-12-31,37.01,$3.88,9.54
2020-09-30,34.1,$4.57,7.46
2020-06-30,41.11,$4.38,9.38
2020-03-31,26.01,$2.55,10.2
2019-12-31,42.93,$1.15,37.41
2019-09-30,37.03,$1.41,26.34
2019-06-30,32.57,$0.13,243.23
2019-03-31,37.62,$0.71,53.2
2018-12-31,37.56,$3.10,12.12
2018-09-30,48.79,$3.43,14.22
2018-06-30,52.14,$3.59,14.52
2018-03-31,49.08,$3.47,14.13
2017-12-31,39.32,$3.94,9.99
2017-09-30,37.5,$3.18,11.78
2017-06-30,38.85,$3.14,12.38
2017-03-31,44.86,$2.98,15.08
2016-12-31,35.71,$2.64,13.54
2016-09-30,39.74,$2.67,14.9
2016-06-30,40.76,$4.15,9.81
